"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Parking Meter Issues","Traffic","15##","WYANDOTTE","WARD 4","Phone","FEB 15, 2023 01:18:58 PM"
"Parking Meter Issues","Traffic","0##","CHATHAM","WARD 3","Phone","JAN 20, 2023 12:33:45 PM"
"Parking Meter Issues","Traffic","7##","PELISSIER","WARD 3","Phone","MAR 22, 2023 10:55:21 AM"
"Parking Meter Issues","Traffic","16##","ST GABRIEL","WARD 1","Phone","FEB 16, 2023 11:04:40 AM"
"Parking Meter Issues","Traffic","9##","ERIE","WARD 4","Phone","FEB 16, 2023 02:40:44 PM"
"Parking Meter Issues","Traffic"," ","CHATHAM ST W & DOUGALL AVE","WARD 3","Phone","JAN 18, 2023 01:59:07 PM"
"Parking Meter Issues","Traffic"," ","HURON CHURCH RD & WYANDOTTE ST W","WARD 2","Phone","FEB 09, 2023 09:55:22 AM"
"Parking Meter Issues","Traffic","0##","TUSCARORA","WARD 3","Phone","JAN 11, 2023 08:36:02 AM"
"Parking Meter Issues","Traffic"," ","WYANDOTTE ST E & KILDARE RD","WARD 4","Phone","JAN 23, 2023 01:05:17 PM"
"Parking Meter Issues","Traffic"," ","PITT ST E & GOYEAU ST","WARD 3","Phone","FEB 10, 2023 12:00:33 PM"
"Parking Meter Issues","Traffic"," ","UNIVERSITY AVE E & GOYEAU ST","WARD 3","Phone","FEB 01, 2023 09:48:16 AM"
"Parking Meter Issues","Traffic"," ","GOYEAU ST & UNIVERSITY AVE E","WARD 3","Phone","FEB 01, 2023 10:18:55 AM"
"Parking Meter Issues","Traffic","0##","PITT","WARD 3","Phone","JAN 27, 2023 12:12:52 PM"
"Parking Meter Issues","Traffic","3##","VICTORIA","WARD 3","Phone","JAN 12, 2023 09:09:32 AM"
"Parking Meter Issues","Traffic","3##","PELISSIER","WARD 3","Phone","JUN 12, 2023 11:57:22 AM"
"Parking Meter Issues","Traffic","4##","CITY HALL","WARD 3","Phone","MAY 18, 2023 08:54:14 AM"
"Parking Meter Issues","Traffic"," ","PARK ST W & PELISSIER ST","WARD 3","Phone","APR 04, 2023 02:49:12 PM"
"Parking Meter Issues","Traffic"," ","OUELLETTE AVE & RIVERSIDE DR E","WARD 3","Phone","MAR 03, 2023 03:20:07 PM"
"Parking Meter Issues","Traffic"," ","WYANDOTTE ST E & MERCER ST","WARD 3","E-Mail","MAY 31, 2023 08:12:11 AM"
"Parking Meter Issues","Traffic","4##","WYANDOTTE","WARD 3","Phone","MAR 15, 2023 02:42:59 PM"
"Parking Meter Issues","Traffic"," ","PELISSIER ST & CHATHAM ST W","WARD 3","E-Mail","APR 03, 2023 08:26:46 AM"
"Parking Meter Issues","Traffic"," ","OTTAWA ST & BENJAMIN AVE","WARD 4","Phone","MAR 30, 2023 01:11:56 PM"
"Parking Meter Issues","Traffic"," ","CALIFORNIA AVE & WYANDOTTE ST W","WARD 2","Phone","MAY 17, 2023 08:45:37 AM"
"Parking Meter Issues","Traffic","18##","WYANDOTTE","WARD 4","Citizen Mobile Apps","APR 25, 2023 11:05:41 AM"
"Parking Meter Issues","Traffic","16##","WYANDOTTE","WARD 2","Citizen Mobile Apps","APR 27, 2023 02:38:19 PM"
"Parking Meter Issues","Traffic","9##","ERIE","WARD 4","Phone","MAY 05, 2023 01:24:18 PM"
"Parking Meter Issues","Traffic","4##","ERIE","WARD 3","Phone","MAY 05, 2023 02:55:50 PM"
"Parking Meter Issues","Traffic","1##","CHATHAM","WARD 3","Phone","JUN 28, 2023 11:51:22 AM"
"Parking Meter Issues","Traffic","12##","OTTAWA","WARD 4","Phone","FEB 24, 2023 03:22:11 PM"
"Parking Meter Issues","Traffic"," ","PARK ST E & OUELLETTE AVE","WARD 3","Phone","APR 06, 2023 01:46:37 PM"
"Parking Meter Issues","Traffic"," ","LINCOLN RD & TECUMSEH RD E","WARD 4","Phone","JUN 20, 2023 02:40:50 PM"
"Parking Meter Issues","Traffic"," ","WYANDOTTE ST E & KILDARE RD","WARD 4","E-Mail","MAY 10, 2023 12:25:01 PM"
"Parking Meter Issues","Traffic","5##","PELISSIER","WARD 3","Phone","JUN 15, 2023 11:50:21 AM"
"Parking Meter Issues","Traffic"," ","VICTORIA AVE & UNIVERSITY AVE W","WARD 3","Phone","JUN 22, 2023 11:07:51 AM"
"Parking Meter Issues","Traffic"," ","ERIE ST E & MARENTETTE AVE","WARD 4","Phone","JUN 29, 2023 11:11:45 AM"
