Location: 4155 Ojibway Pkwy,,
Gauge: Lou Romano Water Reclamation Plant,,
DateTime,Daily Accumulation,Rainfall Total
1/1/2013 1:00,0,0
1/1/2013 4:00,0,0
1/1/2013 7:00,0,0
1/1/2013 10:00,0,0
1/1/2013 13:00,0,0
1/1/2013 16:00,0,0
1/1/2013 19:00,0,0
1/1/2013 22:00,0,0
1/2/2013 1:00,0,0
1/2/2013 4:00,0,0
1/2/2013 7:00,0,0
1/2/2013 10:00,0,0
1/2/2013 13:00,0,0
1/2/2013 16:00,0,0
1/2/2013 19:00,0,0
1/2/2013 22:00,0,0
1/3/2013 1:00,0,0
1/3/2013 4:00,0,0
1/3/2013 7:00,0,0
1/3/2013 10:00,0,0
1/3/2013 13:00,0,0
1/3/2013 16:00,0,0
1/3/2013 19:00,0,0
1/3/2013 22:00,0,0
1/4/2013 1:00,0,0
1/4/2013 4:00,0,0
1/4/2013 7:00,0,0
1/4/2013 10:00,0,0
1/4/2013 13:00,0,0
1/4/2013 16:00,0,0
1/4/2013 19:00,0,0
1/4/2013 22:00,0,0
1/5/2013 1:00,0,0
1/5/2013 4:00,0,0
1/5/2013 7:00,0,0
1/5/2013 10:00,0,0
1/5/2013 13:00,0,0
1/5/2013 16:00,0,0
1/5/2013 19:00,0,0
1/5/2013 22:00,0.1,0.1
1/6/2013 1:00,0,0
1/6/2013 4:00,0,0
1/6/2013 7:00,0,0
1/6/2013 10:00,0,0
1/6/2013 13:00,0,0
1/6/2013 16:00,0,0
1/6/2013 19:00,0,0
1/6/2013 22:00,0,0
1/7/2013 1:00,0,0
1/7/2013 4:00,0,0
1/7/2013 7:00,0,0
1/7/2013 10:00,0,0
1/7/2013 13:00,0,0
1/7/2013 16:00,0,0
1/7/2013 19:00,0,0
1/7/2013 22:00,0,0
1/8/2013 1:00,0,0
1/8/2013 4:00,0,0
1/8/2013 7:00,0,0
1/8/2013 10:00,0,0
1/8/2013 13:00,0,0
1/8/2013 16:00,0,0
1/8/2013 19:00,0,0
1/8/2013 22:00,0,0
1/9/2013 1:00,0,0
1/9/2013 4:00,0,0
1/9/2013 7:00,0,0
1/9/2013 10:00,0,0
1/9/2013 13:00,0,0
1/9/2013 16:00,0,0
1/9/2013 19:00,0,0
1/9/2013 22:00,0,0
1/10/2013 1:00,0,0
1/10/2013 4:00,0,0
1/10/2013 7:00,0,0
1/10/2013 10:00,0,0
1/10/2013 13:00,0,0
1/10/2013 16:00,0,0
1/10/2013 19:00,0.2,0.2
1/10/2013 22:00,2.2,2
1/11/2013 1:00,7.2,7.2
1/11/2013 4:00,12.5,5.3
1/11/2013 7:00,17,4.5
1/11/2013 10:00,17,0
1/11/2013 13:00,17,0
1/11/2013 16:00,17,0
1/11/2013 19:00,17,0
1/11/2013 22:00,17,0
1/12/2013 1:00,0,0
1/12/2013 4:00,0,0
1/12/2013 7:00,0,0
1/12/2013 10:00,0,0
1/12/2013 13:00,0,0
1/12/2013 16:00,0,0
1/12/2013 19:00,0,0
1/12/2013 22:00,8.9,8.9
1/13/2013 1:00,8.7,8.7
1/13/2013 4:00,11.6,2.9
1/13/2013 7:00,11.6,0
1/13/2013 10:00,11.6,0
1/13/2013 13:00,11.7,0.1
1/13/2013 16:00,14.8,3.1
1/13/2013 19:00,15.5,0.7
1/13/2013 22:00,15.5,0
1/14/2013 1:00,0,0
1/14/2013 4:00,0,0
1/14/2013 7:00,0,0
1/14/2013 10:00,0,0
1/14/2013 13:00,0,0
1/14/2013 16:00,0,0
1/14/2013 19:00,0,0
1/14/2013 22:00,0,0
1/15/2013 1:00,0,0
1/15/2013 4:00,0,0
1/15/2013 7:00,0,0
1/15/2013 10:00,0,0
1/15/2013 13:00,0,0
1/15/2013 16:00,0,0
1/15/2013 19:00,0,0
1/15/2013 22:00,0,0
1/16/2013 1:00,0,0
1/16/2013 4:00,0,0
1/16/2013 7:00,0,0
1/16/2013 10:00,0,0
1/16/2013 13:00,0,0
1/16/2013 16:00,0,0
1/16/2013 19:00,0,0
1/16/2013 22:00,0,0
1/17/2013 1:00,0,0
1/17/2013 4:00,0,0
1/17/2013 7:00,0,0
1/17/2013 10:00,0,0
1/17/2013 13:00,0,0
1/17/2013 16:00,0,0
1/17/2013 19:00,0,0
1/17/2013 22:00,0,0
1/18/2013 1:00,0,0
1/18/2013 4:00,0,0
1/18/2013 7:00,0,0
1/18/2013 10:00,0,0
1/18/2013 13:00,0,0
1/18/2013 16:00,0,0
1/18/2013 19:00,0,0
1/18/2013 22:00,0,0
1/19/2013 1:00,0,0
1/19/2013 4:00,0,0
1/19/2013 7:00,0,0
1/19/2013 10:00,0,0
1/19/2013 13:00,0,0
1/19/2013 16:00,0,0
1/19/2013 19:00,0,0
1/19/2013 22:00,0,0
1/20/2013 1:00,0,0
1/20/2013 4:00,0,0
1/20/2013 7:00,0,0
1/20/2013 10:00,0,0
1/20/2013 13:00,0,0
1/20/2013 16:00,0,0
1/20/2013 19:00,0,0
1/20/2013 22:00,0,0
1/21/2013 1:00,0,0
1/21/2013 4:00,0,0
1/21/2013 7:00,0.2,0.2
1/21/2013 10:00,0.3,0.1
1/21/2013 13:00,0.3,0
1/21/2013 16:00,0.3,0
1/21/2013 19:00,0.3,0
1/21/2013 22:00,0.3,0
1/22/2013 1:00,0,0
1/22/2013 4:00,0,0
1/22/2013 7:00,0,0
1/22/2013 10:00,0,0
1/22/2013 13:00,0,0
1/22/2013 16:00,0,0
1/22/2013 19:00,0,0
1/22/2013 22:00,0,0
1/23/2013 1:00,0,0
1/23/2013 4:00,0,0
1/23/2013 7:00,0,0
1/23/2013 10:00,0,0
1/23/2013 13:00,0,0
1/23/2013 16:00,0,0
1/23/2013 19:00,0,0
1/23/2013 22:00,0,0
1/24/2013 1:00,0,0
1/24/2013 4:00,0,0
1/24/2013 7:00,0,0
1/24/2013 10:00,0,0
1/24/2013 13:00,0,0
1/24/2013 16:00,0,0
1/24/2013 19:00,0,0
1/24/2013 22:00,0,0
1/25/2013 1:00,0,0
1/25/2013 4:00,0,0
1/25/2013 7:00,0,0
1/25/2013 10:00,0.7,0.7
1/25/2013 13:00,0.7,0
1/25/2013 16:00,0.8,0.1
1/25/2013 19:00,0.8,0
1/25/2013 22:00,0.8,0
1/26/2013 1:00,0,0
1/26/2013 4:00,0,0
1/26/2013 7:00,0,0
1/26/2013 10:00,0,0
1/26/2013 13:00,0,0
1/26/2013 16:00,0,0
1/26/2013 19:00,0,0
1/26/2013 22:00,0,0
1/27/2013 1:00,0,0
1/27/2013 4:00,0,0
1/27/2013 7:00,0,0
1/27/2013 10:00,0,0
1/27/2013 13:00,0,0
1/27/2013 16:00,0.1,0.1
1/27/2013 19:00,4.8,4.7
1/27/2013 22:00,10.3,5.5
1/28/2013 1:00,1,1
1/28/2013 4:00,1,0
1/28/2013 7:00,1.2,0.2
1/28/2013 10:00,1.2,0
1/28/2013 13:00,1.2,0
1/28/2013 16:00,1.2,0
1/28/2013 19:00,1.2,0
1/28/2013 22:00,1.2,0
1/29/2013 1:00,0,0
