"Location: 42.283408, -82.953172",,
Gauge: Pillette ,,
DateTime,Daily Accumulation,Rainfall Total
1/1/2013 1:00,0,0
1/1/2013 4:00,0,0
1/1/2013 7:00,0,0
1/1/2013 10:00,0,0
1/1/2013 13:00,0,0
1/1/2013 16:00,0,0
1/1/2013 19:00,0,0
1/1/2013 22:00,0,0
1/2/2013 1:00,0,0
1/2/2013 4:00,0,0
1/2/2013 7:00,0,0
1/2/2013 10:00,0,0
1/2/2013 13:00,0,0
1/2/2013 16:00,0,0
1/2/2013 19:00,0,0
1/2/2013 22:00,0,0
1/3/2013 1:00,0,0
1/3/2013 4:00,0,0
1/3/2013 7:00,0,0
1/3/2013 10:00,0,0
1/3/2013 13:00,0,0
1/3/2013 16:00,0,0
1/3/2013 19:00,0,0
1/3/2013 22:00,0,0
1/4/2013 1:00,0,0
1/4/2013 4:00,0,0
1/4/2013 7:00,0,0
1/4/2013 10:00,0,0
1/4/2013 13:00,0,0
1/4/2013 16:00,0,0
1/4/2013 19:00,0,0
1/4/2013 22:00,0,0
1/5/2013 1:00,0,0
1/5/2013 4:00,0,0
1/5/2013 7:00,0,0
1/5/2013 10:00,0,0
1/5/2013 13:00,0,0
1/5/2013 16:00,0,0
1/5/2013 19:00,0,0
1/5/2013 22:00,0,0
1/6/2013 1:00,0.1,0.1
1/6/2013 4:00,0.3,0.2
1/6/2013 7:00,0.3,0
1/6/2013 10:00,0.3,0
1/6/2013 13:00,0.4,0.1
1/6/2013 16:00,0.6,0.2
1/6/2013 19:00,0.6,0
1/6/2013 22:00,0.6,0
1/7/2013 1:00,0,0
1/7/2013 4:00,0,0
1/7/2013 7:00,0,0
1/7/2013 10:00,0,0
1/7/2013 13:00,0,0
1/7/2013 16:00,0,0
1/7/2013 19:00,0,0
1/7/2013 22:00,0,0
1/8/2013 1:00,0,0
1/8/2013 4:00,0,0
1/8/2013 7:00,0,0
1/8/2013 10:00,0,0
1/8/2013 13:00,0,0
1/8/2013 16:00,0,0
1/8/2013 19:00,0,0
1/8/2013 22:00,0,0
1/9/2013 1:00,0,0
1/9/2013 4:00,0,0
1/9/2013 7:00,0,0
1/9/2013 10:00,0,0
1/9/2013 13:00,0,0
1/9/2013 16:00,0,0
1/9/2013 19:00,0,0
1/9/2013 22:00,0,0
1/10/2013 1:00,0,0
1/10/2013 4:00,0,0
1/10/2013 7:00,0,0
1/10/2013 10:00,0,0
1/10/2013 13:00,0,0
1/10/2013 16:00,0,0
1/10/2013 19:00,0.1,0.1
1/10/2013 22:00,1.6,1.5
1/11/2013 1:00,5.9,5.9
1/11/2013 4:00,7.1,1.2
1/11/2013 7:00,11.2,4.1
1/11/2013 10:00,11.2,0
1/11/2013 13:00,11.2,0
1/11/2013 16:00,11.2,0
1/11/2013 19:00,11.2,0
1/11/2013 22:00,11.2,0
1/12/2013 1:00,0,0
1/12/2013 4:00,0,0
1/12/2013 7:00,0,0
1/12/2013 10:00,0,0
1/12/2013 13:00,0,0
1/12/2013 16:00,0,0
1/12/2013 19:00,0,0
1/12/2013 22:00,7.4,7.4
1/13/2013 1:00,10.4,10.4
1/13/2013 4:00,13.3,2.9
1/13/2013 7:00,13.3,0
1/13/2013 10:00,13.3,0
1/13/2013 13:00,13.3,0
1/13/2013 16:00,16.9,3.6
1/13/2013 19:00,18.1,1.2
1/13/2013 22:00,18.1,0
1/14/2013 1:00,0,0
1/14/2013 4:00,0,0
1/14/2013 7:00,0,0
1/14/2013 10:00,0,0
1/14/2013 13:00,0,0
1/14/2013 16:00,0,0
1/14/2013 19:00,0,0
1/14/2013 22:00,0,0
1/15/2013 1:00,0,0
1/15/2013 4:00,0,0
1/15/2013 7:00,0,0
1/15/2013 10:00,0,0
1/15/2013 13:00,0,0
1/15/2013 16:00,0,0
1/15/2013 19:00,0,0
1/15/2013 22:00,0,0
1/16/2013 1:00,0,0
1/16/2013 4:00,0,0
1/16/2013 7:00,0,0
1/16/2013 10:00,0,0
1/16/2013 13:00,0,0
1/16/2013 16:00,0,0
1/16/2013 19:00,0,0
1/16/2013 22:00,0,0
1/17/2013 1:00,0,0
1/17/2013 4:00,0,0
1/17/2013 7:00,0,0
1/17/2013 10:00,0,0
1/17/2013 13:00,0,0
1/17/2013 16:00,0,0
1/17/2013 19:00,0,0
1/17/2013 22:00,0,0
1/18/2013 1:00,0,0
1/18/2013 4:00,0,0
1/18/2013 7:00,0,0
1/18/2013 10:00,0,0
1/18/2013 13:00,0,0
1/18/2013 16:00,0,0
1/18/2013 19:00,0,0
1/18/2013 22:00,0,0
1/19/2013 1:00,0,0
1/19/2013 4:00,0,0
1/19/2013 7:00,0,0
1/19/2013 10:00,0,0
1/19/2013 13:00,0,0
1/19/2013 16:00,0,0
1/19/2013 19:00,0,0
1/19/2013 22:00,0,0
1/20/2013 1:00,0,0
1/20/2013 4:00,0,0
1/20/2013 7:00,0,0
1/20/2013 10:00,0,0
1/20/2013 13:00,0,0
1/20/2013 16:00,0,0
1/20/2013 19:00,0,0
1/20/2013 22:00,0,0
1/21/2013 1:00,0,0
1/21/2013 4:00,0,0
1/21/2013 7:00,0,0
1/21/2013 10:00,0,0
1/21/2013 13:00,0,0
1/21/2013 16:00,0,0
1/21/2013 19:00,0,0
1/21/2013 22:00,0,0
1/22/2013 1:00,0,0
1/22/2013 4:00,0,0
1/22/2013 7:00,0,0
1/22/2013 10:00,0,0
1/22/2013 13:00,0,0
1/22/2013 16:00,0,0
1/22/2013 19:00,0,0
1/22/2013 22:00,0,0
1/23/2013 1:00,0,0
1/23/2013 4:00,0,0
1/23/2013 7:00,0,0
1/23/2013 10:00,0,0
1/23/2013 13:00,0,0
1/23/2013 16:00,0,0
1/23/2013 19:00,0,0
1/23/2013 22:00,0,0
1/24/2013 1:00,0,0
1/24/2013 4:00,0,0
1/24/2013 7:00,0,0
1/24/2013 10:00,0,0
1/24/2013 13:00,0,0
1/24/2013 16:00,0,0
1/24/2013 19:00,0,0
1/24/2013 22:00,0,0
1/25/2013 1:00,0,0
1/25/2013 4:00,0,0
1/25/2013 7:00,0,0
1/25/2013 10:00,0,0
1/25/2013 13:00,0,0
1/25/2013 16:00,0,0
1/25/2013 19:00,0,0
1/25/2013 22:00,0,0
1/26/2013 1:00,0,0
1/26/2013 4:00,0,0
1/26/2013 7:00,0,0
1/26/2013 10:00,0,0
1/26/2013 13:00,0.1,0.1
1/26/2013 16:00,0.1,0
1/26/2013 19:00,0.1,0
1/26/2013 22:00,0.1,0
1/27/2013 1:00,0,0
1/27/2013 4:00,0,0
1/27/2013 7:00,0,0
1/27/2013 10:00,0.1,0.1
1/27/2013 13:00,0.1,0
1/27/2013 16:00,0.1,0
1/27/2013 19:00,0.1,0
1/27/2013 22:00,0.1,0
1/28/2013 1:00,1.3,1.3
1/28/2013 4:00,2.8,1.5
1/28/2013 7:00,9,6.2
1/28/2013 10:00,10.3,1.3
1/28/2013 13:00,10.3,0
1/28/2013 16:00,10.3,0
1/28/2013 19:00,10.3,0
1/28/2013 22:00,10.3,0
1/29/2013 1:00,0,0
