"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Rodent Extermination Program","Environmental Services","12##","WIGLE","WARD 2","Phone","JUL 04, 2023 10:20:51 AM"
"Rodent Extermination Program","Environmental Services","18##","CENTRAL","WARD 5","Phone","JUL 04, 2023 10:44:17 AM"
"Rodent Extermination Program","Environmental Services","8##","FORD","WARD 6","Phone","JUL 04, 2023 03:14:17 PM"
"Rodent Extermination Program","Environmental Services","24##","NORMAN","WARD 8","Phone","APR 19, 2023 12:23:12 PM"
"Rodent Extermination Program","Environmental Services","31##","WILDWOOD","WARD 7","Phone","APR 20, 2023 02:20:08 PM"
"Rodent Extermination Program","Environmental Services","30##","SANDWICH","WARD 2","Phone","APR 21, 2023 01:25:47 PM"
"Rodent Extermination Program","Environmental Services","15##","NORTHWAY","WARD 10","Phone","APR 24, 2023 08:36:00 AM"
"Rodent Extermination Program","Environmental Services","11##","JANETTE","WARD 3","Phone","APR 24, 2023 10:46:22 AM"
"Rodent Extermination Program","Environmental Services","17##","BALFOUR","WARD 8","E-Mail","APR 24, 2023 11:48:43 AM"
"Rodent Extermination Program","Environmental Services","15##","ARTHUR","WARD 5","E-Mail","APR 24, 2023 11:52:39 AM"
"Rodent Extermination Program","Environmental Services","11##","ESDRAS","WARD 6","Phone","APR 24, 2023 01:35:00 PM"
"Rodent Extermination Program","Environmental Services","12##","BRUCE","WARD 3","Phone","JAN 03, 2023 11:42:11 AM"
"Rodent Extermination Program","Environmental Services","5##","HALL","WARD 4","Phone","JAN 03, 2023 11:20:55 AM"
"Rodent Extermination Program","Environmental Services","35##","MCKAY","WARD 1","Phone","JAN 03, 2023 08:53:20 AM"
"Rodent Extermination Program","Environmental Services","24##","HOWARD","WARD 3","Phone","JAN 03, 2023 10:16:03 AM"
"Rodent Extermination Program","Environmental Services","13##","ELSMERE","WARD 4","Phone","JAN 03, 2023 11:03:25 AM"
"Rodent Extermination Program","Environmental Services","78##","CECILE","WARD 6","Phone","MAR 09, 2023 10:27:36 AM"
"Rodent Extermination Program","Environmental Services","34##","DEERBROOK","WARD 7","Phone","MAR 09, 2023 12:06:05 PM"
"Rodent Extermination Program","Environmental Services","8##","PARENT","WARD 4","Phone","MAR 09, 2023 01:13:47 PM"
"Rodent Extermination Program","Environmental Services","9##","LAPORTE","WARD 6","Phone","FEB 01, 2023 03:12:18 PM"
"Rodent Extermination Program","Environmental Services","3##","RANKIN","WARD 2","Phone","FEB 02, 2023 10:36:23 AM"
"Rodent Extermination Program","Environmental Services","2##","ELM","WARD 3","Phone","FEB 02, 2023 11:20:45 AM"
"Rodent Extermination Program","Environmental Services","2##","CRAWFORD","WARD 3","Phone","JAN 10, 2023 03:55:28 PM"
