"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","9##","WINDERMERE","WARD 4","Phone","FEB 07, 2025 01:19:56 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","9##","WINDERMERE","WARD 4","Phone","FEB 07, 2025 01:20:36 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","4##","CLINTON","WARD 3","Phone","FEB 28, 2025 09:17:55 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","40##","TECUMSEH","WARD 5","Phone","MAR 04, 2025 11:05:08 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","6##","RANKIN","WARD 2","Phone","JAN 20, 2025 09:35:55 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","46##","WYANDOTTE","WARD 5","Citizen Web Intake App","FEB 24, 2025 11:55:04 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","12##","CURRY","WARD 2","Citizen Mobile Apps","FEB 26, 2025 08:56:04 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","32##","TURNER","WARD 9","Phone","FEB 25, 2025 02:51:50 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance"," ","MOY AVE & NIAGARA ST","WARD 4","Phone","FEB 07, 2025 01:31:10 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","3##","CARON","WARD 3","E-Mail","MAR 10, 2025 10:26:21 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","22##","HIGHLAND","WARD 3","Citizen Mobile Apps","JAN 04, 2025 05:21:33 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","46##","WYANDOTTE","WARD 5","Citizen Web Intake App","MAR 05, 2025 02:39:50 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","36##","PETER","WARD 2","Phone","JAN 31, 2025 03:25:20 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","7##","MCDOUGALL","WARD 3","Phone","FEB 07, 2025 03:50:45 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","33##","PETER","WARD 2","Phone","MAR 04, 2025 09:35:24 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","33##","BABY","WARD 2","Phone","FEB 25, 2025 12:44:41 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","17##","LANGLOIS","WARD 4","Phone","MAR 12, 2025 11:55:36 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","23##","WYANDOTTE","WARD 2","Phone","MAR 12, 2025 12:06:51 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","22##","HOWARD","WARD 3","Citizen Mobile Apps","FEB 26, 2025 12:30:42 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance"," ","WYANDOTTE ST E & MOY AVE","WARD 4","Phone","MAR 05, 2025 11:53:59 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","18##","MOY","WARD 4","Phone","MAR 05, 2025 12:03:36 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","8##","MOY","WARD 4","Phone","MAR 07, 2025 10:41:48 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","23##","GEORGE","WARD 5","Citizen Mobile Apps","FEB 28, 2025 05:31:31 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","17##","PIERRE","WARD 4","Phone","MAR 07, 2025 03:20:22 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","11##","LANGLOIS","WARD 4","Phone","MAR 04, 2025 11:47:35 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","15##","HALL","WARD 4","E-Mail","MAR 05, 2025 08:36:47 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","11##","PIERRE","WARD 4","Phone","MAR 05, 2025 09:43:35 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","14##","LINCOLN","WARD 4","Phone","MAR 05, 2025 11:40:20 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","9##","HALL","WARD 4","Phone","JAN 27, 2025 03:00:11 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","12##","GLADSTONE","WARD 4","Phone","JAN 07, 2025 01:00:43 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","13##","YPRES","WARD 4","Phone","FEB 25, 2025 10:31:30 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance"," ","ERIE ST W & VICTORIA AVE","WARD 3","E-Mail","MAR 11, 2025 08:09:17 AM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","14##","DROUILLARD","WARD 5","Phone","MAR 11, 2025 01:14:00 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","1##","UNIVERSITY","WARD 3","Phone","FEB 07, 2025 03:42:59 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","31##","LOEBACH","WARD 8","Citizen Web Intake App","FEB 20, 2025 07:46:00 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","23##","MOY","WARD 4","Citizen Mobile Apps","JAN 20, 2025 05:03:04 PM"
"Alley Repair / Flooding","Contracts, Field Services and Maintenance","23##","MOY","WARD 4","Phone","JAN 20, 2025 01:25:43 PM"
