"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Fence / Hedge Concerns","Inspections","8##","ELM","WARD 3","Phone","JUL 10, 2023 10:44:44 AM"
"Fence / Hedge Concerns","Inspections","94##","RIDGE","WARD 7","Citizen Mobile Apps","JUL 06, 2023 03:24:17 PM"
"Fence / Hedge Concerns","Inspections","15##","CENTRAL","WARD 5","Phone","FEB 10, 2023 10:27:38 AM"
"Fence / Hedge Concerns","Inspections","6##","VICTORIA","WARD 3","Phone","JAN 24, 2023 01:36:38 PM"
"Fence / Hedge Concerns","Inspections","17##","CABANA","WARD 1","E-Mail","JAN 26, 2023 03:46:22 PM"
"Fence / Hedge Concerns","Inspections","15##","YORK","WARD 3","Phone","JAN 18, 2023 01:41:36 PM"
"Fence / Hedge Concerns","Inspections","36##","ASKIN","WARD 1","E-Mail","JAN 27, 2023 10:36:29 AM"
"Fence / Hedge Concerns","Inspections","45##","CENTRE LAKE","WARD 1","Citizen Mobile Apps","JAN 05, 2023 09:02:17 AM"
"Fence / Hedge Concerns","Inspections","10##","GRAND MARAIS","WARD 10","Citizen Mobile Apps","APR 12, 2023 09:37:43 AM"
"Fence / Hedge Concerns","Inspections","27##","CHANDLER","WARD 5","Phone","JUN 22, 2023 12:08:29 PM"
"Fence / Hedge Concerns","Inspections","19##","DOMINION","WARD 10","Phone","JUL 21, 2023 09:17:22 AM"
"Fence / Hedge Concerns","Inspections","19##","DOMINION","WARD 10","Phone","JUL 21, 2023 09:17:39 AM"
"Fence / Hedge Concerns","Inspections","43##","GUPPY","WARD 1","Phone","MAY 04, 2023 01:04:35 PM"
"Fence / Hedge Concerns","Inspections","12##","COVENTRY","WARD 6","Phone","FEB 03, 2023 01:10:03 PM"
"Fence / Hedge Concerns","Inspections","22##","ST CLAIR","WARD 10","Citizen Mobile Apps","FEB 13, 2023 02:16:53 PM"
"Fence / Hedge Concerns","Inspections","118##","RIVERSIDE","WARD 7","E-Mail","JUN 08, 2023 01:52:09 PM"
"Fence / Hedge Concerns","Inspections","12##","NIAGARA","WARD 4","Phone","MAY 29, 2023 03:17:44 PM"
"Fence / Hedge Concerns","Inspections","0##","GILES","WARD 3","Phone","JUN 15, 2023 03:02:11 PM"
"Fence / Hedge Concerns","Inspections","42##","IRMA","WARD 9","Phone","MAY 23, 2023 08:23:19 AM"
"Fence / Hedge Concerns","Inspections","11##","DROUILLARD","WARD 5","Phone","APR 11, 2023 10:27:11 AM"
"Fence / Hedge Concerns","Inspections","5##","LAKEVIEW","WARD 7","Phone","MAY 12, 2023 10:59:14 AM"
"Fence / Hedge Concerns","Inspections","21##","VERCHERES","WARD 2","Phone","JUL 28, 2023 09:42:23 AM"
"Fence / Hedge Concerns","Inspections","4##","HALL","WARD 4","Phone","JUL 28, 2023 10:18:04 AM"
"Fence / Hedge Concerns","Inspections","25##","ROSSINI","WARD 5","Phone","MAY 16, 2023 11:35:38 AM"
"Fence / Hedge Concerns","Inspections","36##","WILDWOOD","WARD 7","Phone","MAY 23, 2023 11:12:05 AM"
"Fence / Hedge Concerns","Inspections","31##","MCROBBIE","WARD 7","Phone","APR 13, 2023 01:20:32 PM"
"Fence / Hedge Concerns","Inspections","11##","MCKAY","WARD 2","Phone","JUN 21, 2023 10:40:37 AM"
"Fence / Hedge Concerns","Inspections","6##","GRAND MARAIS","WARD 10","Phone","JUN 21, 2023 12:19:44 PM"
"Fence / Hedge Concerns","Inspections","8##","PARENT","WARD 4","Phone","MAY 30, 2023 03:02:15 PM"
"Fence / Hedge Concerns","Inspections","33##","RANKIN","WARD 1","Phone","MAY 15, 2023 09:21:38 AM"
"Fence / Hedge Concerns","Inspections","8##","FRANCOIS","WARD 5","Phone","MAY 24, 2023 03:05:00 PM"
"Fence / Hedge Concerns","Inspections","24##","ALEXIS","WARD 5","Phone","JUN 06, 2023 11:23:01 AM"
"Fence / Hedge Concerns","Inspections","66##","RIVERSIDE","WARD 6","Phone","MAY 03, 2023 03:04:23 PM"
"Fence / Hedge Concerns","Inspections","2##","BELLEVIEW","WARD 5","Phone","MAY 25, 2023 03:46:23 PM"
"Fence / Hedge Concerns","Inspections","27##","VIRGINIA PARK","WARD 10","Phone","MAY 31, 2023 10:44:33 AM"
"Fence / Hedge Concerns","Inspections","51##","WYANDOTTE","WARD 6","Phone","MAY 25, 2023 10:10:31 AM"
"Fence / Hedge Concerns","Inspections","19##","CENTRAL","WARD 5","Phone","JUN 01, 2023 12:29:41 PM"
"Fence / Hedge Concerns","Inspections","34##","ST PATRICK'S","WARD 1","Citizen Mobile Apps","JUN 01, 2023 12:40:33 PM"
"Fence / Hedge Concerns","Inspections","11##","KAMLOOPS","WARD 9","Phone","MAR 27, 2023 11:43:25 AM"
"Fence / Hedge Concerns","Inspections","66##","RIVERSIDE","WARD 6","Phone","JUN 05, 2023 11:38:03 AM"
"Fence / Hedge Concerns","Inspections","8##","TECUMSEH","WARD 4","Citizen Mobile Apps","MAY 31, 2023 10:57:36 AM"
"Fence / Hedge Concerns","Inspections","20##","BUCKINGHAM","WARD 8","Phone","MAY 01, 2023 03:24:01 PM"
"Fence / Hedge Concerns","Inspections","11##","MOY","WARD 4","Phone","APR 12, 2023 11:54:47 AM"
"Fence / Hedge Concerns","Inspections","13##","BAYSWATER","WARD 6","E-Mail","MAY 08, 2023 02:06:36 PM"
