"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Garbage Not Collected","Environmental Services","119##","COBBLESTONE","WARD 7","Phone","FEB 13, 2025 02:02:51 PM"
"Garbage Not Collected","Environmental Services","8##","MONMOUTH","WARD 4","Citizen Mobile Apps","FEB 13, 2025 04:10:58 PM"
"Garbage Not Collected","Environmental Services","27##","FOREST GLADE","WARD 7","Citizen Web Intake App","FEB 13, 2025 04:33:06 PM"
"Garbage Not Collected","Environmental Services","10##","JANISSE","WARD 6","Phone","FEB 14, 2025 08:20:06 AM"
"Garbage Not Collected","Environmental Services","2##","MOY","WARD 4","Phone","JAN 09, 2025 02:37:36 PM"
"Garbage Not Collected","Environmental Services","11##","DOUGALL","WARD 3","Phone","JAN 09, 2025 03:31:42 PM"
"Garbage Not Collected","Environmental Services","10##","ST PAUL","WARD 6","Phone","JAN 09, 2025 03:59:33 PM"
"Garbage Not Collected","Environmental Services","117##","TECUMSEH","WARD 7","Citizen Mobile Apps","JAN 09, 2025 08:21:09 PM"
"Garbage Not Collected","Environmental Services","23##","MELDRUM","WARD 5","Phone","JAN 10, 2025 08:05:24 AM"
"Garbage Not Collected","Environmental Services","11##","HOWARD","WARD 4","Phone","JAN 21, 2025 10:22:49 AM"
"Garbage Not Collected","Environmental Services","9##","LAWRENCE","WARD 6","Citizen Mobile Apps","JAN 17, 2025 02:09:27 PM"
"Garbage Not Collected","Environmental Services","11##","LENA","WARD 2","E-Mail","JAN 21, 2025 08:44:00 AM"
"Garbage Not Collected","Environmental Services","2##","TECUMSEH","WARD 3","Citizen Web Intake App","JAN 20, 2025 08:38:43 PM"
"Garbage Not Collected","Environmental Services","12##","HALL","WARD 4","Citizen Mobile Apps","JAN 21, 2025 09:58:46 AM"
"Garbage Not Collected","Environmental Services","16##","BLAIRWOOD","WARD 9","Phone","JAN 24, 2025 10:41:45 AM"
"Garbage Not Collected","Environmental Services","77##","EDGAR","WARD 6","Phone","JAN 24, 2025 10:46:49 AM"
"Garbage Not Collected","Environmental Services","12##","BELLE ISLE VIEW","WARD 6","Phone","JAN 24, 2025 11:46:21 AM"
"Garbage Not Collected","Environmental Services","119##","MAITLAND","WARD 7","Phone","JAN 23, 2025 01:09:28 PM"
"Garbage Not Collected","Environmental Services","18##","DROUILLARD","WARD 5","Phone","JAN 23, 2025 02:50:45 PM"
"Garbage Not Collected","Environmental Services","19##","FERNDALE","WARD 8","Phone","JAN 23, 2025 03:33:11 PM"
"Garbage Not Collected","Environmental Services","119##","BOULDER","WARD 7","Citizen Mobile Apps","JAN 23, 2025 05:54:12 PM"
"Garbage Not Collected","Environmental Services","23##","CHILVER","WARD 4","Citizen Mobile Apps","JAN 23, 2025 07:51:11 PM"
"Garbage Not Collected","Environmental Services","9##","WESTMINSTER","WARD 6","Phone","JAN 16, 2025 01:25:59 PM"
"Garbage Not Collected","Environmental Services","1##","MARLIN","WARD 9","Phone","JAN 16, 2025 10:30:33 AM"
"Garbage Not Collected","Environmental Services","3##","CAMPBELL","WARD 2","Phone","JAN 27, 2025 01:51:39 PM"
"Garbage Not Collected","Environmental Services","32##","BABY","WARD 2","Phone","JAN 27, 2025 03:54:05 PM"
"Garbage Not Collected","Environmental Services","16##","BETTS","WARD 10","Phone","JAN 28, 2025 08:30:08 AM"
"Garbage Not Collected","Environmental Services","11##","HOWARD","WARD 4","Phone","JAN 28, 2025 09:03:08 AM"
"Garbage Not Collected","Environmental Services","6##","MCEWAN","WARD 2","Phone","JAN 28, 2025 09:13:59 AM"
"Garbage Not Collected","Environmental Services","38##","YELLOWOOD","WARD 9","Phone","JAN 27, 2025 12:40:21 PM"
"Garbage Not Collected","Environmental Services","20##","FORD","WARD 8","Phone","JAN 16, 2025 03:41:00 PM"
"Garbage Not Collected","Environmental Services","17##","FERNDALE","WARD 8","Phone","JAN 17, 2025 08:32:10 AM"
"Garbage Not Collected","Environmental Services","13##","GLADSTONE","WARD 4","Phone","JAN 17, 2025 10:12:37 AM"
"Garbage Not Collected","Environmental Services","50##","ELYRIA","WARD 8","Phone","JAN 17, 2025 11:45:13 AM"
"Garbage Not Collected","Environmental Services","33##","BLISS","WARD 9","Phone","JAN 03, 2025 08:15:12 AM"
"Garbage Not Collected","Environmental Services","23##","TURNER","WARD 4","Citizen Mobile Apps","JAN 03, 2025 06:02:55 PM"
"Garbage Not Collected","Environmental Services","28##","NORTHWAY","WARD 10","Phone","JAN 06, 2025 11:08:14 AM"
"Garbage Not Collected","Environmental Services","24##","LUXURY","WARD 7","Phone","FEB 13, 2025 10:40:17 AM"
"Garbage Not Collected","Environmental Services","23##","DUNESHILL","WARD 7","Phone","FEB 13, 2025 11:23:02 AM"
"Garbage Not Collected","Environmental Services","13##","LINCOLN","WARD 4","Phone","FEB 13, 2025 01:22:20 PM"
"Garbage Not Collected","Environmental Services","25##","GATWICK","WARD 7","Phone","FEB 13, 2025 12:11:20 PM"
"Garbage Not Collected","Environmental Services","12##","COTTAGE","WARD 6","Phone","FEB 13, 2025 12:25:08 PM"
"Garbage Not Collected","Environmental Services","19##","PILLETTE","WARD 8","Phone","FEB 13, 2025 12:40:25 PM"
"Garbage Not Collected","Environmental Services","22##","RANKIN","WARD 10","Phone","JAN 06, 2025 11:15:37 AM"
"Garbage Not Collected","Environmental Services","22##","ST CLAIR","WARD 10","Phone","JAN 06, 2025 12:16:51 PM"
"Garbage Not Collected","Environmental Services","7##","FELIX","WARD 2","Phone","JAN 06, 2025 01:02:28 PM"
"Garbage Not Collected","Environmental Services","43##","MOUNT ROYAL","WARD 1","Phone","JAN 07, 2025 11:35:47 AM"
"Garbage Not Collected","Environmental Services","22##","HOWARD","WARD 4","Phone","JAN 07, 2025 03:03:15 PM"
"Garbage Not Collected","Environmental Services","9##","WALKER","WARD 4","Citizen Mobile Apps","FEB 25, 2025 12:25:11 PM"
"Garbage Not Collected","Environmental Services","8##","LAWRENCE","WARD 6","Phone","FEB 26, 2025 09:40:03 AM"
"Garbage Not Collected","Environmental Services","17##","WESTCOTT","WARD 5","Phone","FEB 26, 2025 12:17:15 PM"
"Garbage Not Collected","Environmental Services","11##","ST LOUIS","WARD 6","Phone","FEB 27, 2025 08:56:33 AM"
"Garbage Not Collected","Environmental Services","15##","DARFIELD","WARD 6","Phone","FEB 27, 2025 08:59:16 AM"
"Garbage Not Collected","Environmental Services","3##","GLADSTONE","WARD 4","Phone","FEB 27, 2025 09:57:38 AM"
"Garbage Not Collected","Environmental Services","15##","VIRTUE","WARD 6","Citizen Mobile Apps","FEB 27, 2025 09:02:08 PM"
"Garbage Not Collected","Environmental Services","16##","DARFIELD","WARD 6","Phone","FEB 28, 2025 11:03:06 AM"
"Garbage Not Collected","Environmental Services","16##","DARFIELD","WARD 6","Phone","FEB 28, 2025 11:03:14 AM"
"Garbage Not Collected","Environmental Services","15##","DOUGALL","WARD 3","Phone","FEB 28, 2025 08:21:15 AM"
"Garbage Not Collected","Environmental Services","10##","CLOVER","WARD 7","E-Mail","FEB 28, 2025 09:48:27 AM"
"Garbage Not Collected","Environmental Services","16##","VIRTUE","WARD 6","Phone","FEB 28, 2025 11:06:46 AM"
"Garbage Not Collected","Environmental Services","19##","PILLETTE","WARD 8","Phone","FEB 27, 2025 11:43:09 AM"
"Garbage Not Collected","Environmental Services","16##","DARFIELD","WARD 6","Phone","FEB 27, 2025 01:05:46 PM"
"Garbage Not Collected","Environmental Services","118##","ROCKLAND","WARD 7","Phone","FEB 27, 2025 03:22:04 PM"
"Garbage Not Collected","Environmental Services","23##","UNIVERSITY","WARD 2","Phone","FEB 27, 2025 03:39:40 PM"
"Garbage Not Collected","Environmental Services","17##","CADILLAC","WARD 5","Phone","FEB 05, 2025 12:58:08 PM"
"Garbage Not Collected","Environmental Services","30##","ROCKWELL","WARD 1","Phone","FEB 12, 2025 09:34:41 AM"
"Garbage Not Collected","Environmental Services","4##","FRANK","WARD 6","Phone","FEB 14, 2025 08:51:23 AM"
"Garbage Not Collected","Environmental Services","4##","LAPORTE","WARD 6","Phone","FEB 14, 2025 09:48:02 AM"
"Garbage Not Collected","Environmental Services","4##","LAPORTE","WARD 6","Phone","FEB 14, 2025 10:17:12 AM"
"Garbage Not Collected","Environmental Services","4##","FRANK","WARD 6","Phone","FEB 14, 2025 02:07:24 PM"
