"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","6##","LISA","WARD 1","E-Mail","JUL 29, 2024 10:34:17 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","11##","HIGHLAND","WARD 3","Phone","JUL 30, 2024 12:24:00 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","13##","COTTAGE","WARD 6","E-Mail","SEP 16, 2024 11:35:58 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","7##","BROCK","WARD 2","Phone","SEP 17, 2024 11:10:41 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","12##","MONMOUTH","WARD 4","Phone","SEP 18, 2024 10:43:28 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","7##","BROCK","WARD 2","Phone","SEP 23, 2024 09:59:25 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","11##","HIGHLAND","WARD 3","Phone","AUG 12, 2024 09:23:03 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","19##","TECUMSEH","WARD 10","Phone","NOV 20, 2024 10:11:19 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","3##","LINCOLN","WARD 4","Phone","AUG 13, 2024 10:42:34 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","34##","HARRIS","WARD 2","Phone","SEP 12, 2024 12:19:49 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","8##","ASSUMPTION","WARD 4","Phone","SEP 18, 2024 01:30:44 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","19##","ETHAN","WARD 8","Phone","SEP 19, 2024 01:23:50 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","9##","FELIX","WARD 2","Phone","AUG 19, 2024 09:27:35 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","5##","MCEWAN","WARD 2","E-Mail","SEP 23, 2024 09:59:52 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","8##","OUELLETTE","WARD 3","Phone","SEP 27, 2024 12:18:39 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","2##","CHILVER","WARD 4","Phone","OCT 01, 2024 08:35:32 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","21##","MARK","WARD 10","Citizen Mobile Apps","OCT 02, 2024 11:35:32 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","3##","MILL","WARD 2","Phone","SEP 13, 2024 11:46:29 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","3##","MILL","WARD 2","E-Mail","SEP 13, 2024 01:11:06 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","35##","DOMINION","WARD 1","Citizen Mobile Apps","OCT 01, 2024 10:43:40 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","13##","PELISSIER","WARD 3","Phone","OCT 01, 2024 03:50:39 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","5##","UNIVERSITY","WARD 3","Phone","OCT 17, 2024 10:17:57 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","8##","MARION","WARD 4","Phone","OCT 18, 2024 10:10:47 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","35##","DOMINION","WARD 1","Phone","OCT 01, 2024 10:52:24 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","35##","DOMINION","WARD 1","Phone","OCT 02, 2024 02:57:27 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","31##","WYANDOTTE","WARD 2","Phone","OCT 22, 2024 11:36:49 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","27##","SCARSDALE","WARD 7","Phone","JUL 04, 2024 09:15:30 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","81##","WYANDOTTE","WARD 6","Phone","JUL 15, 2024 10:50:18 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","6##","ARGYLE","WARD 4","Phone","NOV 20, 2024 02:53:57 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","21##","HOWARD","WARD 4","Phone","NOV 20, 2024 03:03:38 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","8##","MOY","WARD 4","Phone","AUG 28, 2024 02:39:21 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","10##","ERIE","WARD 4","Phone","OCT 22, 2024 10:38:45 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","9##","FELIX","WARD 2","Phone","OCT 24, 2024 09:06:35 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","13##","CURRY","WARD 2","Phone","NOV 12, 2024 09:02:04 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","11##","FELIX","WARD 2","Phone","NOV 13, 2024 09:27:46 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","36##","PETER","WARD 2","Phone","NOV 15, 2024 02:34:58 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","32##","NORTHWAY","WARD 1","Phone","NOV 18, 2024 10:48:54 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","10##","SILVERDALE","WARD 1","Phone","NOV 19, 2024 02:32:01 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","23##","GIRARDOT","WARD 2","Phone","NOV 21, 2024 01:20:40 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","16##","HALLMARK","WARD 9","E-Mail","OCT 09, 2024 08:16:13 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","18##","LINCOLN","WARD 4","Phone","NOV 27, 2024 09:33:33 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","28##","HOWARD","WARD 10","Phone","NOV 27, 2024 11:37:53 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","5##","CAMPBELL","WARD 2","Phone","NOV 05, 2024 12:06:20 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","27##","CHANDLER","WARD 5","E-Mail","NOV 15, 2024 10:21:43 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","4##","ROSEDALE","WARD 2","Phone","SEP 24, 2024 12:53:33 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","9##","LAUZON","WARD 6","Phone","JUL 10, 2024 01:46:17 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","27##","HOWARD","WARD 10","Phone","NOV 27, 2024 11:39:42 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","75##","RIVERSIDE","WARD 6","Phone","AUG 15, 2024 11:00:42 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","25##","ELLROSE","WARD 5","Phone","OCT 17, 2024 12:21:11 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","22##","DOMINION","WARD 10","Citizen Mobile Apps","JUN 24, 2024 01:45:39 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","18##","CADILLAC","WARD 5","Phone","JUL 02, 2024 11:47:18 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","7##","RANDOLPH","WARD 2","Phone","JUL 08, 2024 09:36:34 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","4##","WATKINS","WARD 2","Phone","JUL 08, 2024 09:44:45 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","29##","ST PATRICK'S","WARD 10","Phone","JUL 08, 2024 11:17:06 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","1##","WYANDOTTE","WARD 3","Phone","JUL 08, 2024 01:44:12 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","4##","CURRY","WARD 2","E-Mail","JUL 08, 2024 02:32:44 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","46##","BUNKER","WARD 9","Phone","JUL 16, 2024 02:59:09 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","13##","WYANDOTTE","WARD 2","Phone","JUL 19, 2024 12:31:57 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","33##","WOODWARD","WARD 9","Phone","JUL 25, 2024 09:04:05 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","4##","CAMERON","WARD 2","Phone","JUL 25, 2024 02:22:32 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","19##","WYANDOTTE","WARD 2","Phone","JUL 31, 2024 10:54:17 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","27##","MCKAY","WARD 10","Phone","AUG 01, 2024 10:41:13 AM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","9##","HALL","WARD 4","Phone","AUG 01, 2024 03:47:29 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","5##","ST JOSEPH","WARD 2","Phone","AUG 02, 2024 03:59:54 PM"
"Garbage Preparation Issues","Policy, Gaming, Licencing and Bylaw Enforcement","10##","HARRISON","WARD 2","E-Mail","AUG 06, 2024 03:16:50 PM"
