"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Illegal Dumping Public Property","Environmental Services"," ","TITCOMBE RD & MATCHETT RD","WARD 1","E-Mail","JUL 15, 2025 02:41:52 PM"
"Illegal Dumping Public Property","Environmental Services"," ","TITCOMBE RD & MATCHETT RD","WARD 1","E-Mail","JUL 16, 2025 01:39:07 PM"
"Illegal Dumping Public Property","Environmental Services","7##","GLENGARRY","WARD 3","Phone","AUG 25, 2025 11:39:02 AM"
"Illegal Dumping Public Property","Environmental Services","32##","SANDWICH","WARD 2","Phone","AUG 25, 2025 02:24:22 PM"
"Illegal Dumping Public Property","Environmental Services","9##","MCKAY","WARD 2","Phone","OCT 08, 2025 03:55:58 PM"
"Illegal Dumping Public Property","Environmental Services","10##","PELISSIER","WARD 3","E-Mail","OCT 23, 2025 09:35:58 AM"
"Illegal Dumping Public Property","Environmental Services","9##","JOSEPHINE","WARD 2","Phone","OCT 23, 2025 02:09:07 PM"
"Illegal Dumping Public Property","Environmental Services"," ","BROADWAY ST & OJIBWAY PKY","WARD 1","Phone","OCT 21, 2025 11:02:52 AM"
"Illegal Dumping Public Property","Environmental Services"," ","MULBERRY DR & SEVILLE AVE","WARD 7","E-Mail","JUN 04, 2025 12:48:38 PM"
"Illegal Dumping Public Property","Environmental Services"," ","MULBERRY DR & SEVILLE AVE","WARD 7","E-Mail","JUN 04, 2025 12:52:54 PM"
"Illegal Dumping Public Property","Environmental Services","19##","WYANDOTTE","WARD 2","Phone","JUL 10, 2025 11:40:37 AM"
"Illegal Dumping Public Property","Environmental Services"," ","ASSUMPTION","WARD 4","Phone","JUN 03, 2025 01:28:38 PM"
"Illegal Dumping Public Property","Environmental Services","10##","NORTH","WARD 10","Phone","AUG 07, 2025 08:14:37 AM"
"Illegal Dumping Public Property","Environmental Services","4##","CURRY","WARD 2","Phone","JUN 13, 2025 12:31:59 PM"
"Illegal Dumping Public Property","Environmental Services","10##","HOWARD","WARD 3","Phone","JUN 30, 2025 12:48:59 PM"
"Illegal Dumping Public Property","Environmental Services","16##","DARFIELD","WARD 6","Phone","MAY 07, 2025 01:52:16 PM"
