"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Litter Bin - Request for New Bin","Environmental Services","5##","OUELLETTE","WARD 3","Phone","AUG 11, 2025 11:27:15 AM"
"Litter Bin - Request for New Bin","Environmental Services","29##","RUSHTON","WARD 7","Phone","DEC 17, 2025 03:08:06 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","SANDWICH ST & SOUTH ST","WARD 2","Phone","MAY 29, 2025 01:27:36 PM"
"Litter Bin - Request for New Bin","Environmental Services","35##","SANDWICH","WARD 2","Phone","MAY 29, 2025 01:26:32 PM"
"Litter Bin - Request for New Bin","Environmental Services","0##","CHATHAM","WARD 3","Phone","OCT 09, 2025 11:07:11 AM"
"Litter Bin - Request for New Bin","Environmental Services","8##","OTTAWA","WARD 4","Phone","MAY 27, 2025 03:44:15 PM"
"Litter Bin - Request for New Bin","Environmental Services","54##","WYANDOTTE","WARD 6","Phone","MAY 08, 2025 12:32:44 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","ERIE ST E & HOWARD AVE","WARD 4","Phone","JUL 02, 2025 12:18:43 PM"
"Litter Bin - Request for New Bin","Environmental Services","9##","DROUILLARD","WARD 5","Phone","JUL 31, 2025 12:18:49 PM"
"Litter Bin - Request for New Bin","Environmental Services","108##","SPRINGHOLLOW","WARD 7","Phone","JUN 27, 2025 09:52:04 AM"
"Litter Bin - Request for New Bin","Environmental Services","29##","RUSHTON","WARD 7","Phone","OCT 10, 2025 01:27:33 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","ERIE ST E & HOWARD AVE","WARD 4","Phone","AUG 19, 2025 11:40:31 AM"
"Litter Bin - Request for New Bin","Environmental Services","43##","WYANDOTTE","WARD 5","E-Mail","OCT 06, 2025 09:15:34 AM"
"Litter Bin - Request for New Bin","Environmental Services"," ","OUELLETTE AVE & PARK ST W","WARD 3","Phone","SEP 09, 2025 01:01:29 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","PARK ST W & PELISSIER ST","WARD 3","Phone","SEP 25, 2025 12:16:20 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","JOS JANISSE AVE & WYANDOTTE ST E","WARD 5","E-Mail","SEP 15, 2025 11:16:44 AM"
"Litter Bin - Request for New Bin","Environmental Services","32##","SANDWICH","WARD 2","Phone","APR 03, 2025 03:14:47 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","SEMINOLE ST & DROUILLARD RD","WARD 5","E-Mail","JAN 28, 2025 09:00:38 AM"
"Litter Bin - Request for New Bin","Environmental Services"," ","THOMPSON BLVD & WYANDOTTE ST E","WARD 6","Phone","FEB 20, 2025 11:50:35 AM"
"Litter Bin - Request for New Bin","Environmental Services","83##","WYANDOTTE","WARD 6","Phone","MAY 14, 2025 08:47:55 AM"
"Litter Bin - Request for New Bin","Environmental Services","39##","CASGRAIN","WARD 1","Phone","MAR 17, 2025 03:31:08 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","WYANDOTTE ST E & LAUZON RD","WARD 6","Phone","APR 01, 2025 09:55:34 AM"
"Litter Bin - Request for New Bin","Environmental Services"," ","TECUMSEH RD E & MCDOUGALL ST","WARD 3","Phone","APR 01, 2025 01:52:34 PM"
"Litter Bin - Request for New Bin","Environmental Services","105##","CLAIRVIEW","WARD 7","Phone","JUN 18, 2025 01:51:51 PM"
"Litter Bin - Request for New Bin","Environmental Services"," ","BRUCE AVE & CHATHAM ST W","WARD 3","Phone","OCT 29, 2025 11:28:07 AM"
