"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Litter Bin Request for Service","Environmental Services","10##","DROUILLARD","WARD 5","E-Mail","OCT 23, 2024 09:25:40 AM"
"Litter Bin Request for Service","Environmental Services","8##","GILES","WARD 4","Citizen Mobile Apps","OCT 21, 2024 03:54:40 PM"
"Litter Bin Request for Service","Environmental Services","54##","WYANDOTTE","WARD 6","Phone","NOV 15, 2024 10:29:18 AM"
"Litter Bin Request for Service","Environmental Services","9##","WYANDOTTE","WARD 4","Phone","SEP 03, 2024 01:38:20 PM"
"Litter Bin Request for Service","Environmental Services","4##","PELISSIER","WARD 3","Phone","JUL 02, 2024 09:18:05 AM"
"Litter Bin Request for Service","Environmental Services","4##","PELISSIER","WARD 3","Phone","JUL 02, 2024 09:18:10 AM"
"Litter Bin Request for Service","Environmental Services"," ","CALIFORNIA AVE & PULFORD ST","WARD 1","Phone","AUG 02, 2024 10:54:13 AM"
"Litter Bin Request for Service","Environmental Services","4##","PELISSIER","WARD 3","Phone","JUL 02, 2024 09:20:08 AM"
"Litter Bin Request for Service","Environmental Services"," ","RANDOLPH AVE & WYANDOTTE ST W","WARD 2","E-Mail","OCT 02, 2024 09:55:04 AM"
"Litter Bin Request for Service","Environmental Services","3##","OUELLETTE","WARD 3","Phone","AUG 26, 2024 09:20:52 AM"
"Litter Bin Request for Service","Environmental Services","58##","TECUMSEH","WARD 8","Phone","OCT 29, 2024 09:50:55 AM"
"Litter Bin Request for Service","Environmental Services"," ","VICTORIA BLVD & BEALS ST W","WARD 9","Phone","SEP 23, 2024 11:42:51 AM"
"Litter Bin Request for Service","Environmental Services","10##","DROUILLARD","WARD 5","Citizen Mobile Apps","AUG 13, 2024 12:35:27 PM"
"Litter Bin Request for Service","Environmental Services"," ","OTTAWA ST & LANGLOIS AVE","WARD 4","Phone","SEP 24, 2024 08:44:29 AM"
"Litter Bin Request for Service","Environmental Services","10##","DROUILLARD","WARD 5","Citizen Mobile Apps","JUL 29, 2024 03:06:17 PM"
"Litter Bin Request for Service","Environmental Services"," ","WYANDOTTE ST E & PILLETTE RD","WARD 6","Phone","SEP 04, 2024 09:05:11 AM"
"Litter Bin Request for Service","Environmental Services","9##","FELIX","WARD 2","Phone","JUL 03, 2024 04:03:09 PM"
"Litter Bin Request for Service","Environmental Services","14##","WYANDOTTE","WARD 4","Citizen Mobile Apps","AUG 18, 2024 05:52:48 PM"
"Litter Bin Request for Service","Environmental Services","16##","WYANDOTTE","WARD 4","E-Mail","JUL 22, 2024 11:03:54 AM"
"Litter Bin Request for Service","Environmental Services","3##","CITY HALL","WARD 3","Phone","SEP 24, 2024 12:19:51 PM"
"Litter Bin Request for Service","Environmental Services","3##","OUELLETTE","WARD 3","Phone","SEP 09, 2024 09:01:22 AM"
"Litter Bin Request for Service","Environmental Services","4##","UNIVERSITY","WARD 3","Phone","FEB 13, 2024 12:05:12 PM"
"Litter Bin Request for Service","Environmental Services"," ","DOUGALL SQ & MCGREGOR BLVD","WARD 1","Phone","MAR 18, 2024 10:43:49 AM"
"Litter Bin Request for Service","Environmental Services","10##","WYANDOTTE","WARD 4","Phone","JAN 08, 2024 02:43:19 PM"
"Litter Bin Request for Service","Environmental Services","16##","OTTAWA","WARD 4","Citizen Mobile Apps","MAR 12, 2024 08:16:41 AM"
"Litter Bin Request for Service","Environmental Services"," ","DOUGALL SQ & MCGREGOR BLVD","WARD 1","Phone","MAR 13, 2024 09:11:41 AM"
"Litter Bin Request for Service","Environmental Services","16##","OTTAWA","WARD 4","Citizen Mobile Apps","MAY 17, 2024 11:48:10 AM"
"Litter Bin Request for Service","Environmental Services"," ","UNIVERSITY AVE E & FREEDOM WAY","WARD 3","Phone","MAY 30, 2024 02:24:37 PM"
"Litter Bin Request for Service","Environmental Services","10##","DROUILLARD","WARD 5","Phone","MAY 27, 2024 09:05:09 AM"
"Litter Bin Request for Service","Environmental Services"," ","RICHMOND ST & DROUILLARD RD","WARD 5","E-Mail","APR 18, 2024 02:10:18 PM"
"Litter Bin Request for Service","Environmental Services"," ","OUELLETTE AVE & PITT ST E","WARD 3","Phone","JUL 31, 2024 09:05:26 AM"
