"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Parking Meter Issues","Traffic","3##","CHATHAM","WARD 3","Citizen Mobile Apps","OCT 03, 2024 09:29:42 AM"
"Parking Meter Issues","Traffic","0##","RIVERSIDE","WARD 3","Phone","OCT 22, 2024 02:22:57 PM"
"Parking Meter Issues","Traffic"," ","WYANDOTTE ST E & HALL AVE","WARD 4","Phone","SEP 09, 2024 09:39:35 AM"
"Parking Meter Issues","Traffic","0##","UNIVERSITY","WARD 3","Phone","NOV 12, 2024 11:12:08 AM"
"Parking Meter Issues","Traffic"," ","UNIVERSITY","WARD 3","Phone","OCT 28, 2024 12:41:01 PM"
"Parking Meter Issues","Traffic","1##","UNIVERSITY","WARD 3","Phone","OCT 22, 2024 11:48:20 AM"
"Parking Meter Issues","Traffic","3##","FREEDOM","WARD 3","Phone","MAY 13, 2024 01:11:00 PM"
"Parking Meter Issues","Traffic","2##","PITT","WARD 3","Phone","MAY 27, 2024 09:01:10 AM"
"Parking Meter Issues","Traffic"," ","OUELLETTE AVE & CHATHAM ST E","WARD 3","Phone","AUG 01, 2024 12:01:51 PM"
"Parking Meter Issues","Traffic"," ","PARTINGTON AVE & WYANDOTTE ST W","WARD 2","Phone","JUL 22, 2024 12:50:42 PM"
"Parking Meter Issues","Traffic"," ","PELISSIER ST & WYANDOTTE ST W","WARD 3","Phone","JUL 23, 2024 01:54:11 PM"
"Parking Meter Issues","Traffic","15##","OUELLETTE","WARD 3","Phone","JUN 03, 2024 01:27:37 PM"
"Parking Meter Issues","Traffic"," ","HURON CHURCH RD & DONNELLY ST","WARD 2","Phone","JUN 04, 2024 02:55:19 PM"
"Parking Meter Issues","Traffic","20##","WYANDOTTE","WARD 2","Phone","SEP 18, 2024 12:02:03 PM"
"Parking Meter Issues","Traffic"," ","CALIFORNIA AVE & UNIVERSITY AVE W","WARD 2","Phone","JUN 27, 2024 11:11:25 AM"
"Parking Meter Issues","Traffic","14##","OTTAWA","WARD 4","Phone","AUG 29, 2024 12:49:27 PM"
"Parking Meter Issues","Traffic"," ","PARTINGTON AVE & WYANDOTTE ST W","WARD 2","Phone","AUG 30, 2024 11:29:48 AM"
"Parking Meter Issues","Traffic","0##","RIVERSIDE","WARD 3","Citizen Mobile Apps","JUL 02, 2024 10:48:46 AM"
"Parking Meter Issues","Traffic","12##","OTTAWA","WARD 4","Phone","AUG 09, 2024 09:52:51 AM"
"Parking Meter Issues","Traffic","4##","OUELLETTE","WARD 3","Phone","AUG 02, 2024 01:47:42 PM"
"Parking Meter Issues","Traffic"," ","PITT ST W & CHURCH ST","WARD 3","Phone","JUL 19, 2024 03:31:22 PM"
"Parking Meter Issues","Traffic","2##","OUELLETTE","WARD 3","Phone","AUG 28, 2024 01:02:33 PM"
"Parking Meter Issues","Traffic","1##","ERIE","WARD 3","E-Mail","SEP 19, 2024 09:05:42 AM"
"Parking Meter Issues","Traffic"," ","WYANDOTTE ST E & DEVONSHIRE RD","WARD 4","E-Mail","SEP 20, 2024 09:26:56 AM"
"Parking Meter Issues","Traffic"," ","SUNSET AVE & WYANDOTTE ST W","WARD 2","Phone","SEP 20, 2024 01:14:47 PM"
"Parking Meter Issues","Traffic"," ","VICTORIA AVE & UNIVERSITY AVE W","WARD 3","Phone","JUN 24, 2024 10:02:00 AM"
"Parking Meter Issues","Traffic","1##","CHATHAM","WARD 3","Phone","AUG 07, 2024 12:37:28 PM"
"Parking Meter Issues","Traffic","0##","RIVERSIDE","WARD 3","Phone","JUL 16, 2024 02:08:46 PM"
"Parking Meter Issues","Traffic"," ","OUELLETTE AVE & RIVERSIDE DR E","WARD 3","Phone","JUN 20, 2024 03:45:02 PM"
"Parking Meter Issues","Traffic"," ","DOUGALL AVE & CHATHAM ST W","WARD 3","Phone","AUG 22, 2024 10:06:44 AM"
"Parking Meter Issues","Traffic","1##","ERIE","WARD 3","E-Mail","OCT 16, 2024 10:09:01 AM"
"Parking Meter Issues","Traffic"," ","PITT ST E & GOYEAU ST","WARD 3","Phone","NOV 14, 2024 09:08:08 AM"
"Parking Meter Issues","Traffic","3##","UNIVERSITY","WARD 3","Phone","SEP 05, 2024 01:06:38 PM"
"Parking Meter Issues","Traffic","3##","DOUGALL","WARD 3","Phone","SEP 05, 2024 02:33:17 PM"
