"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Lighting Issues - City Facilities","Facilities","4##","ST JOHN","WARD 6","Citizen Mobile Apps","FEB 04, 2025 06:42:44 AM"
"Lighting Issues - City Facilities","Facilities","2##","RIVERSIDE","WARD 3","Citizen Mobile Apps","FEB 28, 2025 07:18:52 AM"
"Lighting Issues - City Facilities","Facilities","1##","TECUMSEH","WARD 3","Citizen Mobile Apps","FEB 25, 2025 11:00:37 AM"
"Lighting Issues - City Facilities","Facilities","3##","RIVERSIDE","WARD 3","Citizen Web Intake App","MAR 13, 2025 12:50:04 AM"
"Lighting Issues - City Facilities","Facilities","0##","RIVERSIDE","WARD 3","Citizen Mobile Apps","JAN 17, 2025 07:18:46 PM"
"Lighting Issues - City Facilities","Facilities","9##","CHILVER","WARD 4","Citizen Mobile Apps","MAR 16, 2025 12:42:23 PM"
"Lighting Issues - City Facilities","Facilities","18##","NIAGARA","WARD 4","Citizen Mobile Apps","APR 24, 2025 02:14:50 PM"
"Lighting Issues - City Facilities","Facilities","5##","RIVERSIDE","WARD 3","Phone","APR 24, 2025 02:56:50 PM"
"Lighting Issues - City Facilities","Facilities","13##","SHEPHERD","WARD 4","Citizen Mobile Apps","FEB 20, 2025 09:32:48 PM"
"Lighting Issues - City Facilities","Facilities","14##","BANWELL","WARD 7","Citizen Mobile Apps","APR 23, 2025 10:58:21 AM"
"Lighting Issues - City Facilities","Facilities","10##","GRAND MARAIS","WARD 10","Citizen Web Intake App","JAN 29, 2025 07:53:45 AM"
"Lighting Issues - City Facilities","Facilities","18##","NIAGARA","WARD 4","Citizen Mobile Apps","APR 24, 2025 02:46:59 PM"
"Lighting Issues - City Facilities","Facilities","2##","RIVERSIDE","WARD 3","Citizen Mobile Apps","MAR 17, 2025 06:09:25 PM"
"Lighting Issues - City Facilities","Facilities","33##","WOODLAND","WARD 1","Citizen Web Intake App","MAR 14, 2025 12:20:16 PM"
"Lighting Issues - City Facilities","Facilities","7##","PRINCE","WARD 2","Citizen Mobile Apps","JAN 16, 2025 07:04:41 PM"
"Lighting Issues - City Facilities","Facilities","18##","NIAGARA","WARD 4","Citizen Mobile Apps","JAN 06, 2025 03:20:05 PM"
