"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Parks Maintenance","Parks Operations","4200","MALDEN","WARD 2","Phone","JAN 16, 2026 08:42:01 AM"
"Parks Maintenance","Parks Operations","3940","CARMICHAEL","WARD 2","Phone","JAN 21, 2026 11:19:39 AM"
"Parks Maintenance","Parks Operations","1571","RIVERSIDE","WARD 2","Phone","JAN 21, 2026 01:37:09 PM"
"Parks Maintenance","Parks Operations","4150","MALDEN","WARD 2","Citizen Mobile Apps","JAN 17, 2026 03:54:32 PM"
"Parks Maintenance","Parks Operations","450","BRODHEAD","WARD 3","Phone","JAN 09, 2026 12:46:29 PM"
"Parks Maintenance","Parks Operations","9475","ESPLANADE","WARD 7","Phone","JAN 13, 2026 02:58:51 PM"
"Parks Maintenance","Parks Operations","621","KILDARE","WARD 4","Phone","JAN 13, 2026 03:48:46 PM"
"Parks Maintenance","Parks Operations","611","KILDARE","WARD 4","Phone","JAN 13, 2026 03:52:20 PM"
"Parks Maintenance","Parks Operations","4270","ALICE","WARD 5","Citizen Mobile Apps","JAN 16, 2026 10:41:14 AM"
"Parks Maintenance","Parks Operations","1728","CHAPPELL","WARD 2","Citizen Mobile Apps","JAN 17, 2026 11:38:04 PM"
"Parks Maintenance","Parks Operations","900","MERCER","WARD 3","Phone","JAN 19, 2026 10:57:39 AM"
"Parks Maintenance","Parks Operations","7777","STELLA","WARD 7","Citizen Mobile Apps","JAN 13, 2026 05:33:33 PM"
"Parks Maintenance","Parks Operations","397","ERIE","WARD 3","Phone","JAN 19, 2026 01:37:08 PM"
"Parks Maintenance","Parks Operations","6405","ROSEVILLE GARDEN","WARD 8","Citizen Web Intake App","JAN 20, 2026 05:56:30 AM"
"Parks Maintenance","Parks Operations","3700","RIVERSIDE","WARD 5","Phone","JAN 20, 2026 01:59:14 PM"
"Parks Maintenance","Parks Operations","3003","TEMPLE","WARD 5","Citizen Mobile Apps","JAN 22, 2026 07:45:04 AM"
"Parks Maintenance","Parks Operations","402","GRAND MARAIS","WARD 10","E-Mail","JAN 22, 2026 09:27:03 AM"
"Parks Maintenance","Parks Operations","1250","LANGLOIS","WARD 4","E-Mail","JAN 23, 2026 08:53:46 AM"
"Parks Maintenance","Parks Operations","6899","TRANBY","WARD 6","Citizen Web Intake App","JAN 12, 2026 09:34:29 PM"
"Parks Maintenance","Parks Operations","900","MERCER","WARD 3","Phone","JAN 19, 2026 10:59:21 AM"
"Parks Maintenance","Parks Operations","2730","PARENT","WARD 10","Phone","JAN 20, 2026 01:15:34 PM"
"Parks Maintenance","Parks Operations","1859","CALDERWOOD","WARD 9","Phone","JAN 22, 2026 08:30:29 AM"
"Parks Maintenance","Parks Operations","5410","EDGAR","WARD 6","Phone","JAN 22, 2026 10:32:41 AM"
"Parks Maintenance","Parks Operations","700","BRUCE","WARD 3","Citizen Web Intake App","JAN 23, 2026 12:40:45 AM"
"Parks Maintenance","Parks Operations","397","ERIE","WARD 3","Phone","JAN 23, 2026 09:27:36 AM"
"Parks Maintenance","Parks Operations","400","RIVERDALE","WARD 6","Phone","JAN 23, 2026 11:56:37 AM"
"Parks Maintenance","Parks Operations","2590","GLADSTONE","WARD 4","Citizen Mobile Apps","JAN 23, 2026 01:38:40 PM"
"Parks Maintenance","Parks Operations","1697","CALDERWOOD","WARD 9","Phone","JAN 23, 2026 01:14:09 PM"
"Parks Maintenance","Parks Operations","2710","LILLIAN","WARD 10","Citizen Mobile Apps","JAN 23, 2026 04:38:01 PM"
"Parks Maintenance","Parks Operations","2710","LILLIAN","WARD 10","Citizen Mobile Apps","JAN 23, 2026 04:40:02 PM"
"Parks Maintenance","Parks Operations"," ","SOUTH NATIONAL ST & JEFFERSON ST","WARD 8","E-Mail","JAN 19, 2026 08:51:09 AM"
"Parks Maintenance","Parks Operations","3265","FOREST GLADE","WARD 7","Citizen Mobile Apps","JAN 16, 2026 07:31:15 PM"
"Parks Maintenance","Parks Operations","9550","RIVERSIDE","WARD 7","Phone","JAN 15, 2026 12:10:49 PM"
"Parks Maintenance","Parks Operations","400","RIVERDALE","WARD 6","Phone","JAN 15, 2026 12:55:36 PM"
"Parks Maintenance","Parks Operations"," ","MEADOWBROOK","WARD 8","Phone","JAN 15, 2026 02:50:11 PM"
"Parks Maintenance","Parks Operations","1075","YPRES","WARD 4","Citizen Mobile Apps","JAN 04, 2026 03:33:36 PM"
"Parks Maintenance","Parks Operations","2555","PULFORD","WARD 1","Citizen Mobile Apps","JAN 03, 2026 11:10:34 AM"
"Parks Maintenance","Parks Operations","1200","DROUILLARD","WARD 5","Phone","JAN 05, 2026 09:05:52 AM"
"Parks Maintenance","Parks Operations","3001","SEMINOLE","WARD 5","Phone","JAN 07, 2026 08:13:53 AM"
"Parks Maintenance","Parks Operations","1880","TOTTEN","WARD 10","Citizen Mobile Apps","JAN 08, 2026 03:04:57 PM"
"Parks Maintenance","Parks Operations","1700","TOTTEN","WARD 10","Phone","JAN 09, 2026 02:10:56 PM"
"Parks Maintenance","Parks Operations","1198","HOMEDALE","WARD 6","Phone","JAN 12, 2026 10:32:31 AM"
"Parks Maintenance","Parks Operations","1388","RIVERSIDE","WARD 4","Phone","JAN 12, 2026 11:23:35 AM"
"Parks Maintenance","Parks Operations","6755","WYANDOTTE","WARD 6","Citizen Mobile Apps","JAN 12, 2026 12:09:19 PM"
"Parks Maintenance","Parks Operations","1551","WYANDOTTE","WARD 2","Citizen Mobile Apps","JAN 12, 2026 04:46:17 PM"
"Parks Maintenance","Parks Operations","1108","COVENTRY","WARD 6","E-Mail","JAN 05, 2026 07:56:59 AM"
