"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Parks - Playground Issues","Parks Operations","480","RIVERSIDE","WARD 3","Citizen Mobile Apps","JUN 15, 2025 12:00:29 PM"
"Parks - Playground Issues","Parks Operations","1551","WYANDOTTE","WARD 2","Citizen Mobile Apps","JUN 15, 2025 02:13:30 PM"
"Parks - Playground Issues","Parks Operations","1250","HOWARD","WARD 4","E-Mail","JUN 16, 2025 12:12:36 PM"
"Parks - Playground Issues","Parks Operations","1198","HOMEDALE","WARD 6","Citizen Mobile Apps","MAY 16, 2025 11:23:44 AM"
"Parks - Playground Issues","Parks Operations","2710","LILLIAN","WARD 10","Citizen Mobile Apps","MAY 19, 2025 10:21:22 AM"
"Parks - Playground Issues","Parks Operations","1415","BANWELL","WARD 7","Citizen Mobile Apps","MAY 19, 2025 08:31:56 PM"
"Parks - Playground Issues","Parks Operations","1020","ST PAUL","WARD 6","Citizen Web Intake App","MAY 20, 2025 08:23:23 AM"
"Parks - Playground Issues","Parks Operations","3950","DUCHARME","WARD 9","Citizen Mobile Apps","JUN 15, 2025 12:24:40 PM"
"Parks - Playground Issues","Parks Operations","450","BRODHEAD","WARD 3","Phone","MAY 02, 2025 02:32:14 PM"
"Parks - Playground Issues","Parks Operations","705","SHEPHERD","WARD 4","Citizen Mobile Apps","MAY 21, 2025 04:07:41 PM"
"Parks - Playground Issues","Parks Operations","2747","ROBERT","WARD 5","Citizen Mobile Apps","JUN 04, 2025 08:32:22 PM"
"Parks - Playground Issues","Parks Operations","1595","SOUTH PACIFIC","WARD 10","Citizen Mobile Apps","JUN 26, 2025 10:30:15 AM"
"Parks - Playground Issues","Parks Operations","3700","RIVERSIDE","WARD 5","Citizen Mobile Apps","JUN 30, 2025 08:48:47 PM"
"Parks - Playground Issues","Parks Operations","3030","CONSERVATION","WARD 9","Phone","JUL 02, 2025 11:12:01 AM"
"Parks - Playground Issues","Parks Operations","1551","WYANDOTTE","WARD 2","Citizen Mobile Apps","JUL 02, 2025 11:52:34 AM"
"Parks - Playground Issues","Parks Operations","3700","RIVERSIDE","WARD 5","Citizen Mobile Apps","JUN 08, 2025 01:42:43 PM"
"Parks - Playground Issues","Parks Operations","3700","RIVERSIDE","WARD 5","Citizen Mobile Apps","JUN 08, 2025 06:14:46 PM"
"Parks - Playground Issues","Parks Operations","1751","SUN VALLEY","WARD 2","Citizen Mobile Apps","MAY 27, 2025 07:43:02 PM"
"Parks - Playground Issues","Parks Operations","2940","STILLMEADOW","WARD 7","Phone","JUN 09, 2025 04:00:41 PM"
"Parks - Playground Issues","Parks Operations","3940","CARMICHAEL","WARD 2","Phone","JUN 11, 2025 03:04:11 PM"
"Parks - Playground Issues","Parks Operations","1889","NIAGARA","WARD 4","Citizen Mobile Apps","MAY 13, 2025 09:22:06 AM"
"Parks - Playground Issues","Parks Operations","1100","RIVERSIDE","WARD 3","Citizen Mobile Apps","MAY 07, 2025 06:15:17 PM"
"Parks - Playground Issues","Parks Operations","399","GILES","WARD 3","Citizen Web Intake App","MAY 24, 2025 12:30:39 PM"
"Parks - Playground Issues","Parks Operations","1142","PARTINGTON","WARD 2","Citizen Mobile Apps","JUN 02, 2025 07:29:37 PM"
"Parks - Playground Issues","Parks Operations","5099","COLBOURNE","WARD 8","Citizen Mobile Apps","JUN 24, 2025 09:36:32 PM"
"Parks - Playground Issues","Parks Operations","3205","FOREST GLADE","WARD 7","Citizen Mobile Apps","JUN 08, 2025 05:48:33 PM"
"Parks - Playground Issues","Parks Operations","1198","HOMEDALE","WARD 6","Citizen Web Intake App","JUL 10, 2025 05:17:23 PM"
"Parks - Playground Issues","Parks Operations","1198","HOMEDALE","WARD 6","Citizen Mobile Apps","JUL 10, 2025 06:11:47 PM"
"Parks - Playground Issues","Parks Operations","2960","RIVARD","WARD 8","Phone","MAY 09, 2025 09:15:39 AM"
"Parks - Playground Issues","Parks Operations","2725","PARTINGTON","WARD 10","Citizen Mobile Apps","JUL 22, 2025 05:10:42 PM"
"Parks - Playground Issues","Parks Operations","3950","DUCHARME","WARD 9","Citizen Mobile Apps","JUL 19, 2025 11:00:28 AM"
