"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","3##","GILES","WARD 3","Phone","FEB 13, 2026 10:51:47 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","12##","DROUILLARD","WARD 5","Phone","MAR 13, 2026 11:54:52 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","39##","CARMICHAEL","WARD 2","Phone","MAR 19, 2026 09:47:43 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","39##","WILDWOOD","WARD 7","Phone","MAR 24, 2026 01:56:51 PM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","49##","OJIBWAY","WARD 1","Phone","MAR 19, 2026 03:53:23 PM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","30##","SANDWICH","WARD 2","Phone","MAR 03, 2026 10:24:47 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","34##","WHITESIDE","WARD 9","Phone","MAR 10, 2026 01:34:03 PM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","100##","RIVERSIDE","WARD 7","Phone","APR 17, 2026 02:04:15 PM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","18##","NIAGARA","WARD 4","E-Mail","FEB 25, 2026 08:14:17 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement"," ","LITTLE RIVER","WARD 7","E-Mail","FEB 17, 2026 08:51:52 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","1##","TECUMSEH","WARD 3","Phone","APR 10, 2026 11:00:40 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","85##","LITTLE RIVER","WARD 6","Phone","MAR 02, 2026 10:51:45 AM"
"Protection of Parks","Policy, Gaming, Licencing and Bylaw Enforcement","20##","SPRING GARDEN","WARD 1","Phone","APR 07, 2026 11:22:10 AM"
