"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Recycling Not Collected","Environmental Services","15##","OTTAWA","WARD 4","Phone","NOV 05, 2024 09:52:47 AM"
"Recycling Not Collected","Environmental Services","60##","RHODES","WARD 9","Phone","SEP 10, 2024 08:20:01 AM"
"Recycling Not Collected","Environmental Services","32##","SANDWICH","WARD 2","Phone","NOV 06, 2024 12:05:27 PM"
"Recycling Not Collected","Environmental Services","4##","TECUMSEH","WARD 3","Phone","NOV 12, 2024 11:15:49 AM"
"Recycling Not Collected","Environmental Services","21##","HALL","WARD 4","Phone","AUG 19, 2024 03:10:05 PM"
"Recycling Not Collected","Environmental Services","33##","SANDWICH","WARD 2","Phone","AUG 21, 2024 10:03:42 AM"
"Recycling Not Collected","Environmental Services","13##","WINDSOR","WARD 3","Phone","OCT 25, 2024 09:55:19 AM"
"Recycling Not Collected","Environmental Services","41##","TECUMSEH","WARD 5","Phone","SEP 26, 2024 11:57:29 AM"
"Recycling Not Collected","Environmental Services","10##","UNIVERSITY","WARD 3","Phone","OCT 18, 2024 09:14:53 AM"
"Recycling Not Collected","Environmental Services","5##","TECUMSEH","WARD 4","Phone","OCT 18, 2024 11:25:25 AM"
"Recycling Not Collected","Environmental Services","39##","SEMINOLE","WARD 5","Phone","OCT 18, 2024 12:55:46 PM"
"Recycling Not Collected","Environmental Services","6##","MCEWAN","WARD 2","Phone","OCT 18, 2024 02:04:47 PM"
"Recycling Not Collected","Environmental Services","33##","MANNHEIM","WARD 9","Phone","AUG 08, 2024 03:48:33 PM"
"Recycling Not Collected","Environmental Services","1##","OAK","WARD 3","Phone","JUL 17, 2024 12:28:59 PM"
"Recycling Not Collected","Environmental Services","7##","GILES","WARD 4","Citizen Mobile Apps","JUL 18, 2024 08:50:18 AM"
"Recycling Not Collected","Environmental Services","6##","ALEXANDRINE","WARD 10","Citizen Mobile Apps","JUL 18, 2024 10:53:17 AM"
"Recycling Not Collected","Environmental Services","32##","CONSERVATION","WARD 9","Phone","JUL 18, 2024 01:02:14 PM"
"Recycling Not Collected","Environmental Services","27##","CENTRAL","WARD 5","Phone","AUG 02, 2024 09:43:41 AM"
"Recycling Not Collected","Environmental Services","34##","OUELLETTE","WARD 9","Phone","JUL 31, 2024 09:59:52 AM"
"Recycling Not Collected","Environmental Services","33##","BOXWOOD","WARD 7","Phone","AUG 02, 2024 12:57:12 PM"
