"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Road Maintenance","Contracts, Field Services and Maintenance","22##","MELDRUM","WARD 5","Phone","FEB 12, 2026 01:41:32 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","TECUMSEH RD E & DURHAM PL","WARD 4","Phone","FEB 20, 2026 09:52:47 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","16##","CALDERWOOD","WARD 9","Citizen Mobile Apps","FEB 26, 2026 06:53:29 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","3##","LINCOLN","WARD 4","Citizen Mobile Apps","FEB 27, 2026 11:40:56 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","21##","SPRING GARDEN","WARD 1","Phone","FEB 27, 2026 01:04:09 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","3##","LINCOLN","WARD 4","Citizen Mobile Apps","FEB 26, 2026 12:22:33 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","27##","ALEXIS","WARD 5","Phone","FEB 13, 2026 12:01:59 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","39##","CARMICHAEL","WARD 2","Citizen Mobile Apps","FEB 25, 2026 10:04:33 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","38##","PETER","WARD 2","Citizen Web Intake App","FEB 26, 2026 01:00:49 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","42##","RIVERSIDE","WARD 5","Citizen Mobile Apps","JAN 28, 2026 03:29:17 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","EC ROW ON","WARD 5","Citizen Web Intake App","JAN 27, 2026 02:12:50 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","RIVERSIDE DR E & JOS JANISSE AVE","WARD 5","Citizen Mobile Apps","JAN 29, 2026 09:58:03 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","4##","MATTHEW BRADY","WARD 6","Citizen Mobile Apps","FEB 21, 2026 04:22:03 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","39##","RHODES","WARD 9","Citizen Mobile Apps","FEB 24, 2026 03:41:09 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","19##","FORD","WARD 8","Phone","FEB 26, 2026 01:08:59 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","26##","NORFOLK PINES","WARD 1","Citizen Web Intake App","FEB 26, 2026 04:34:27 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","4##","MATTHEW BRADY","WARD 6","Citizen Mobile Apps","FEB 21, 2026 04:24:03 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","19##","ETHAN","WARD 8","Phone","JAN 29, 2026 09:08:12 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","25##","BUCKINGHAM","WARD 8","Citizen Web Intake App","JAN 27, 2026 05:22:11 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","3##","CITY HALL","WARD 3","Citizen Web Intake App","JAN 28, 2026 09:42:39 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","25##","COLLEGE","WARD 2","Citizen Mobile Apps","JAN 27, 2026 10:52:41 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","31##","MELBOURNE","WARD 2","Citizen Mobile Apps","FEB 08, 2026 01:42:51 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","9##","RIVERSIDE","WARD 4","Citizen Mobile Apps","FEB 07, 2026 01:54:33 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","10##","NORTH TALBOT","WARD 1","Citizen Mobile Apps","JAN 08, 2026 01:25:55 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","CRAWFORD AVE & COLLEGE AVE","WARD 3","Phone","JAN 22, 2026 12:47:11 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","56##","WYANDOTTE","WARD 6","Citizen Mobile Apps","JAN 04, 2026 11:51:52 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","19##","CENTRAL","WARD 5","Citizen Mobile Apps","JAN 06, 2026 03:59:10 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","10##","NORTH TALBOT","WARD 1","Citizen Mobile Apps","JAN 08, 2026 12:12:57 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","EC ROW RAMP E & LAUZON PKY","WARD 9","Phone","JAN 13, 2026 11:03:40 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","71##","ISABELLE","WARD 6","Phone","JAN 13, 2026 02:13:12 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","OTTAWA ST & LINCOLN RD","WARD 4","Phone","JAN 14, 2026 10:58:28 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","12##","UNIVERSITY","WARD 2","Citizen Mobile Apps","JAN 12, 2026 11:50:36 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","22##","MAITLAND","WARD 7","Citizen Mobile Apps","JAN 09, 2026 07:35:13 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","1##","MCEWAN","WARD 2","Citizen Mobile Apps","JAN 10, 2026 07:24:33 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","12##","UNIVERSITY","WARD 3","Citizen Mobile Apps","JAN 10, 2026 07:24:00 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","12##","BRUCE","WARD 3","Phone","JAN 21, 2026 03:37:21 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","31##","PARKWOOD","WARD 9","Phone","JAN 22, 2026 12:35:06 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","SPRUCEWOOD AVE & OJIBWAY PKY","WARD 1","Phone","JAN 22, 2026 12:45:36 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","ASKIN AVE & UNIVERSITY AVE W","WARD 2","Phone","JAN 07, 2026 01:54:41 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","PATRICIA RD & COLLEGE AVE","WARD 2","Citizen Mobile Apps","FEB 11, 2026 10:35:24 AM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","PATRICIA RD & COLLEGE AVE","WARD 2","Phone","FEB 12, 2026 12:09:47 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","22##","MAITLAND","WARD 7","Citizen Mobile Apps","JAN 26, 2026 12:20:59 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","WALKER RD & PARKDALE PL","WARD 5","Phone","FEB 13, 2026 08:59:29 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","28##","ROBILLARD","WARD 10","Citizen Mobile Apps","FEB 18, 2026 11:02:47 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","17##","RICKARD","WARD 1","Phone","JAN 16, 2026 09:23:04 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","9##","LINCOLN","WARD 4","Citizen Mobile Apps","FEB 21, 2026 10:28:24 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","12##","LABADIE","WARD 5","Phone","FEB 24, 2026 09:16:16 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","15##","NIAGARA","WARD 4","Citizen Mobile Apps","FEB 18, 2026 10:18:28 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","19##","CENTRAL","WARD 5","Citizen Mobile Apps","FEB 18, 2026 11:45:09 AM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","BANWELL RD & MULBERRY DR","WARD 7","Phone","FEB 24, 2026 01:33:32 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","BANWELL RD & MULBERRY DR","WARD 7","Phone","FEB 24, 2026 02:58:49 PM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","PATRICIA RD & WYANDOTTE ST W","WARD 2","Phone","FEB 09, 2026 10:17:32 AM"
"Road Maintenance","Contracts, Field Services and Maintenance"," ","PATRICIA RD & COLLEGE AVE","WARD 2","Phone","FEB 10, 2026 09:03:36 AM"
"Road Maintenance","Contracts, Field Services and Maintenance","7##","TECUMSEH","WARD 3","Phone","FEB 10, 2026 03:50:53 PM"
"Road Maintenance","Contracts, Field Services and Maintenance","16##","BANWELL","WARD 7","Citizen Mobile Apps","JAN 03, 2026 09:53:31 PM"
