"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","47##","MALDEN","WARD 1","Phone","OCT 22, 2024 01:56:43 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","30##","MARENTETTE","WARD 9","Phone","NOV 01, 2024 10:47:10 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","30##","MARENTETTE","WARD 9","Phone","NOV 01, 2024 10:47:51 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","78##","COUNTY RD 42","WARD 9","Phone","OCT 08, 2024 08:27:22 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","45##","RHODES","WARD 9","Phone","MAY 27, 2024 12:26:43 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","42##","MALDEN","WARD 2","Citizen Mobile Apps","JUL 23, 2024 11:31:03 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","TWIN OAKS DR & LAUZON PKY","WARD 9","Phone","JUN 27, 2024 04:01:41 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","37##","YPRES","WARD 5","Phone","MAY 30, 2024 09:40:27 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","GRAND MARAIS RD E & PARENT AVE","WARD 10","Phone","JUN 03, 2024 08:25:20 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","27##","SEMINOLE","WARD 5","Phone","JUL 30, 2024 09:48:58 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","2##","PRATT","WARD 5","E-Mail","MAY 13, 2024 01:26:54 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","PARENT AVE & GRAND MARAIS RD E","WARD 10","Phone","JUN 26, 2024 10:32:17 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","23##","DOUGALL","WARD 3","E-Mail","JUL 02, 2024 10:44:51 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","17##","FERNDALE","WARD 8","Phone","JUL 18, 2024 12:17:54 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","LAUZON PKY & FOREST GLADE DR","WARD 8","Phone","JUL 29, 2024 01:17:29 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","40##","HOWARD","WARD 9","Phone","SEP 17, 2024 09:50:04 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","45##","RHODES","WARD 9","Phone","OCT 31, 2024 12:50:51 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","15##","VILLA MARIA","WARD 1","E-Mail","APR 26, 2024 12:30:58 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","32##","LAUZON","WARD 7","Phone","MAY 23, 2024 11:35:17 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","79##","42","WARD 9","Phone","OCT 07, 2024 02:48:33 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","41##","BASELINE","WARD 9","E-Mail","AUG 30, 2024 11:47:56 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","3##","DIEPPE","WARD 6","Phone","AUG 26, 2024 03:29:48 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","109##","MULBERRY","WARD 7","Phone","JAN 29, 2024 04:02:33 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","NORFOLK ST & ACADEMY DR","WARD 1","E-Mail","FEB 05, 2024 08:18:28 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","30##","MARENTETTE","WARD 9","Phone","FEB 05, 2024 03:32:21 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","19##","DAYTONA","WARD 10","Phone","JAN 02, 2024 03:20:54 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","14##","VICTORIA","WARD 3","Phone","JAN 29, 2024 12:38:07 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","47##","9TH CON","WARD 9","Phone","FEB 15, 2024 03:22:36 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","40##","HOWARD","WARD 9","Phone","APR 19, 2024 11:38:05 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","39##","MATCHETT","WARD 2","Phone","MAR 18, 2024 09:49:23 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","72##","42","WARD 9","Phone","MAR 06, 2024 08:58:22 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","39##","HOWARD","WARD 9","Phone","APR 08, 2024 11:42:51 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","72##","TECUMSEH","WARD 8","Phone","APR 19, 2024 12:16:22 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","COUNTY RD 42 & COUNTY RD 17","WARD 9","Phone","MAR 06, 2024 08:17:53 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","29##","LANGLOIS","WARD 10","Phone","APR 02, 2024 11:38:56 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","TOTTEN ST & MARK AVE","WARD 10","Phone","APR 03, 2024 08:42:30 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","EC ROW AVE E & MARENTETTE AVE","WARD 9","Phone","FEB 02, 2024 01:01:40 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","44##","7TH CON","WARD 9","Phone","MAY 14, 2024 02:32:23 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","ADSTOLL AVE & PILLETTE RD","WARD 5","E-Mail","MAR 04, 2024 09:45:57 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance"," ","GEORGE AVE & GRAND MARAIS RD E","WARD 5","Phone","JAN 05, 2024 10:21:02 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","42##","SPAGO","WARD 9","Phone","FEB 05, 2024 03:53:50 PM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","37##","NORTHWAY","WARD 1","Phone","MAY 02, 2024 08:50:06 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","22##","AMBASSADOR","WARD 2","Phone","JUN 12, 2024 10:26:08 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","20##","CONTINENTAL","WARD 2","Phone","JUN 12, 2024 10:28:10 AM"
"Shoulder Repairs & Service","Contracts, Field Services and Maintenance","36##","SANDWICH","WARD 2","Phone","JUN 28, 2024 03:22:18 PM"
