"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","12##","DOT","WARD 2","Phone","JAN 07, 2025 03:03:19 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance"," ","SOUTH CAMERON BLVD & DOUGALL AVE","WARD 10","Phone","JAN 07, 2025 11:16:52 AM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","23##","FRANCOIS","WARD 5","Phone","JAN 31, 2025 11:45:37 AM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","10##","CRAWFORD","WARD 3","Phone","JAN 31, 2025 12:59:14 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","15##","TOURANGEAU","WARD 5","Phone","JAN 31, 2025 01:53:46 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance"," ","MCEWAN AVE & WYANDOTTE ST W","WARD 2","Phone","JAN 31, 2025 02:19:15 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","17##","IROQUOIS","WARD 4","Citizen Mobile Apps","JAN 31, 2025 06:22:52 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","24##","MEIGHEN","WARD 5","Phone","JAN 31, 2025 02:33:29 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","9##","RIVERSIDE","WARD 3","Phone","JAN 31, 2025 03:20:18 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","34##","AVONDALE","WARD 1","Phone","JAN 31, 2025 03:31:17 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","17##","OTTAWA","WARD 4","Citizen Mobile Apps","JAN 31, 2025 03:35:39 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","28##","LAUZON","WARD 7","Phone","JAN 06, 2025 08:36:02 AM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","22##","GIRARDOT","WARD 2","Phone","JAN 20, 2025 09:50:56 AM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","31##","DOMINION","WARD 1","Phone","JAN 20, 2025 03:08:37 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","30##","ROBINET","WARD 7","Phone","JAN 17, 2025 08:24:45 AM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","22##","GIRARDOT","WARD 2","Phone","JAN 17, 2025 02:19:36 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance","5##","TUSCARORA","WARD 3","Phone","JAN 31, 2025 02:28:35 PM"
"Sewer Issues / Road Flooding","Contracts, Field Services and Maintenance"," ","EC ROW RAMP E & HOWARD AVE","WARD 9","Phone","FEB 11, 2025 03:49:41 PM"
