"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","17##","JEFFERSON","WARD 8","Phone","SEP 11, 2025 02:14:24 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance"," ","FOREST AVE & LENS AVE","WARD 4","Phone","JUL 03, 2025 10:08:44 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","19##","PROVINCIAL","WARD 9","Phone","JUL 14, 2025 09:25:24 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","26##","TURNER","WARD 4","Phone","AUG 14, 2025 11:45:58 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","26##","CABANA","WARD 1","Phone","AUG 13, 2025 01:42:04 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","17##","HALLMARK","WARD 9","Phone","SEP 02, 2025 11:16:08 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","22##","MOY","WARD 4","Phone","SEP 03, 2025 03:18:42 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","8##","ELSMERE","WARD 4","Phone","SEP 19, 2025 09:29:19 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","23##","SANTO","WARD 1","Phone","MAY 26, 2025 12:08:09 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","22##","TURNER","WARD 4","Phone","JUN 02, 2025 11:23:57 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","33##","CURRY","WARD 1","Phone","JUN 11, 2025 02:18:19 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","22##","CHARL","WARD 3","Phone","JUL 02, 2025 08:32:37 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","17##","JEFFERSON","WARD 8","Phone","JUL 08, 2025 08:43:18 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","23##","TURNER","WARD 4","Phone","MAY 08, 2025 10:02:10 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","15##","CABANA","WARD 1","Phone","APR 22, 2025 11:11:24 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","18##","OLIVE","WARD 8","Phone","APR 29, 2025 03:02:37 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","16##","HALL","WARD 4","Phone","MAY 30, 2025 01:38:00 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","17##","PARENT","WARD 4","Phone","JUN 02, 2025 12:38:02 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","30##","LLOYD GEORGE","WARD 8","Phone","APR 17, 2025 08:36:51 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","22##","WELLESLEY","WARD 4","Phone","APR 29, 2025 08:42:54 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","9##","WESTMINSTER","WARD 6","Phone","MAY 28, 2025 11:26:41 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","114##","CORMORANT","WARD 7","Phone","MAY 13, 2025 11:48:43 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","12##","LILLIAN","WARD 4","Phone","MAY 15, 2025 11:21:41 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","31##","ASKIN","WARD 1","Phone","MAY 21, 2025 08:56:54 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","11##","CHURCH","WARD 3","Phone","MAY 21, 2025 12:55:33 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","11##","WINDSOR","WARD 3","Phone","MAY 21, 2025 01:09:32 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","11##","WINDSOR","WARD 3","Phone","MAY 21, 2025 01:10:29 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","37##","DANDURAND","WARD 1","E-Mail","SEP 11, 2025 09:57:28 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","3##","CAMPBELL","WARD 2","Phone","JUL 30, 2025 10:19:32 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","9##","MCEWAN","WARD 2","Phone","SEP 05, 2025 09:13:35 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","30##","SANDWICH","WARD 2","Phone","MAR 26, 2025 01:38:56 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","24##","JOS ST LOUIS","WARD 8","Phone","FEB 25, 2025 01:49:40 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","10##","MATTHEW BRADY","WARD 6","Phone","APR 09, 2025 09:54:39 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","22##","MOY","WARD 4","Phone","APR 23, 2025 08:30:30 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","94##","RIDGE","WARD 7","Phone","APR 25, 2025 09:19:21 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","21##","MOY","WARD 4","Phone","APR 28, 2025 10:21:20 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","6##","GROVE","WARD 3","Phone","APR 08, 2025 09:53:06 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","6##","PARTINGTON","WARD 2","Phone","MAR 31, 2025 10:41:10 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","10##","JANETTE","WARD 3","Phone","MAR 31, 2025 11:10:52 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","13##","BRUCE","WARD 3","Phone","MAY 16, 2025 03:06:55 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","8##","MATTHEW BRADY","WARD 6","E-Mail","MAY 16, 2025 02:02:10 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","15##","CABANA","WARD 1","Phone","MAY 20, 2025 11:23:24 AM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","25##","CABANA","WARD 1","E-Mail","APR 25, 2025 01:56:27 PM"
"Sewer Project Restoration Issues","Contracts, Field Services and Maintenance","18##","JEFFERSON","WARD 8","Phone","JUL 18, 2025 04:00:56 PM"
