"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Skunk Inspection","Environmental Services","13##","YPRES","WARD 4","Phone","JUL 04, 2025 01:46:46 PM"
"Skunk Inspection","Environmental Services","110##","RIVERSIDE","WARD 7","Phone","JUL 07, 2025 10:09:52 AM"
"Skunk Inspection","Environmental Services","16##","INVERNESS","WARD 7","Phone","JUL 08, 2025 11:01:57 AM"
"Skunk Inspection","Environmental Services","10##","LEMONWOOD","WARD 1","Phone","MAY 26, 2025 02:59:35 PM"
"Skunk Inspection","Environmental Services","99##","ASGARD","WARD 7","Phone","JUL 25, 2025 08:05:40 AM"
"Skunk Inspection","Environmental Services","2##","REEDMERE","WARD 6","Phone","AUG 08, 2025 01:38:17 PM"
"Skunk Inspection","Environmental Services","99##","HOLLY","WARD 7","Phone","APR 22, 2025 11:00:24 AM"
"Skunk Inspection","Environmental Services","84##","WYANDOTTE","WARD 6","Phone","APR 08, 2025 12:57:27 PM"
"Skunk Inspection","Environmental Services","8##","LYNN","WARD 9","Phone","MAR 26, 2025 01:43:36 PM"
"Skunk Inspection","Environmental Services","21##","YORK","WARD 3","Phone","FEB 10, 2025 09:21:10 AM"
"Skunk Inspection","Environmental Services","24##","ALEXANDRA","WARD 10","Phone","FEB 28, 2025 02:42:24 PM"
"Skunk Inspection","Environmental Services","11##","VIRGINIA","WARD 6","Phone","JUN 04, 2025 01:07:58 PM"
"Skunk Inspection","Environmental Services","35##","CHURCH","WARD 1","Phone","JUL 09, 2025 09:07:43 AM"
