"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","1##","ELM","WARD 3","Phone","MAR 06, 2023 12:30:43 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","15##","AUBIN","WARD 5","Phone","MAR 06, 2023 10:20:49 AM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","18##","MOY","WARD 4","Citizen Mobile Apps","JAN 26, 2023 05:35:33 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","47##","SOUTHWOOD LAKES","WARD 1","Citizen Mobile Apps","JAN 28, 2023 04:43:08 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","19##","DOMINION","WARD 10","Phone","JAN 25, 2023 01:21:51 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","6##","CAMERON","WARD 2","Phone","JAN 26, 2023 08:16:40 AM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","22##","FOREST","WARD 4","Phone","JAN 26, 2023 03:42:36 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","24##","WALKER","WARD 4","Phone","JAN 31, 2023 03:23:50 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","0##","PARK","WARD 3","Citizen Mobile Apps","JAN 22, 2023 01:43:21 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","15##","HURON CHURCH","WARD 10","Citizen Mobile Apps","JAN 02, 2023 02:11:54 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","25##","KILDARE","WARD 4","Web Intake","JAN 26, 2023 11:33:50 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","8##","NIAGARA","WARD 4","Web Intake","JAN 19, 2023 11:49:23 PM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","8##","VILLAIRE","WARD 6","Phone","MAR 06, 2023 09:02:29 AM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","16##","CLOVER","WARD 7","Phone","MAR 10, 2023 09:12:36 AM"
"Snow & Ice - Dumping on Road/Alley","Bylaw Enforcement","8##","NIAGARA","WARD 4","Phone","MAR 27, 2023 03:04:55 PM"
