"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","22##","HIGHLAND","WARD 3","Citizen Mobile Apps","DEC 11, 2023 12:52:51 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","12##","MOY","WARD 4","Phone","JAN 26, 2023 09:14:21 AM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","6##","ARGYLE","WARD 4","Citizen Mobile Apps","JAN 26, 2023 05:05:21 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","6##","ARGYLE","WARD 4","Citizen Mobile Apps","JAN 26, 2023 05:13:23 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement"," ","HEAD AVE & KILDARE RD","WARD 4","E-Mail","JAN 27, 2023 01:41:48 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","34##","SANDWICH","WARD 2","Phone","JAN 31, 2023 04:02:13 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","6##","UNIVERSITY","WARD 4","Phone","FEB 02, 2023 12:45:08 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","18##","TOURANGEAU","WARD 5","Phone","FEB 03, 2023 08:20:12 AM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement"," ","WYANDOTTE ST E & CHILVER RD","WARD 4","E-Mail","MAR 07, 2023 02:26:52 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","16##","MERCER","WARD 3","Citizen Mobile Apps","DEC 11, 2023 12:48:49 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","14##","GEORGE","WARD 5","Phone","FEB 02, 2023 12:09:13 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","11##","LAKEVIEW","WARD 7","Phone","FEB 03, 2023 01:24:04 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","17##","FACTORIA","WARD 5","Citizen Mobile Apps","FEB 03, 2023 02:26:40 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","11##","RIVERSIDE","WARD 3","Citizen Mobile Apps","FEB 05, 2023 02:02:31 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","17##","UNIVERSITY","WARD 2","E-Mail","FEB 07, 2023 09:30:48 AM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","8##","ROSSINI","WARD 5","Citizen Mobile Apps","JAN 27, 2023 08:44:29 AM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","72##","RIVERSIDE","WARD 6","Web Intake","JAN 29, 2023 12:09:35 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement"," ","COUSINEAU","WARD 1","Phone","FEB 01, 2023 12:55:09 PM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","23##","FOREST","WARD 4","Phone","JAN 27, 2023 10:26:22 AM"
"Snow & Ice Removal Complaint - Sidewalks","Bylaw Enforcement","23##","FOREST","WARD 4","Phone","JAN 27, 2023 10:27:31 AM"
