"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","11##","HURON CHURCH","WARD 2","Phone","NOV 02, 2023 08:26:28 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","BEALS ST W & CHURCH ST","WARD 1","Phone","MAR 07, 2023 02:48:40 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","11##","BELLE ISLE VIEW","WARD 6","Phone","DEC 11, 2023 10:25:45 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","JEFFERSON BLVD & SOUTH NATIONAL ST","WARD 8","E-Mail","JAN 17, 2023 03:42:11 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","9##","YPRES","WARD 4","E-Mail","JAN 23, 2023 10:07:22 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","17##","DURHAM","WARD 4","Phone","FEB 16, 2023 10:43:29 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","DEVONWOOD AVE & DIVISION RD","WARD 9","Phone","NOV 27, 2023 02:04:54 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","25##","MARK","WARD 10","Citizen Mobile Apps","NOV 29, 2023 10:59:33 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","LONGFELLOW AVE & SOUTH CAMERON BLVD","WARD 10","Phone","NOV 28, 2023 09:38:05 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","30##","WOODLAND","WARD 1","Citizen Mobile Apps","JAN 30, 2023 12:00:35 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","BELLAGIO DR & WYANDOTTE ST E","WARD 7","Phone","JAN 30, 2023 12:16:55 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","WELLINGTON AVE & UNIVERSITY AVE W","WARD 3","E-Mail","JAN 30, 2023 01:24:11 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","CONSERVATION DR & E C ROW AVE E","WARD 9","Phone","JAN 30, 2023 03:53:01 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","12##","PARENT","WARD 4","E-Mail","JAN 30, 2023 08:16:17 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","SANDWICH ST & BROADWAY ST","WARD 1","Phone","JAN 30, 2023 08:33:41 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","CHATHAM","WARD 3","Phone","JAN 30, 2023 08:57:30 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","15##","GLADSTONE","WARD 4","Citizen Mobile Apps","FEB 04, 2023 01:45:22 PM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","4##","ISACK","WARD 6","Phone","JAN 26, 2023 08:34:04 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","45##","BROTHERS","WARD 1","Phone","JAN 26, 2023 08:34:25 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","11##","VIRGINIA","WARD 6","Phone","JAN 26, 2023 08:42:42 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","49##","MALDEN","WARD 1","Phone","JAN 26, 2023 08:51:15 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","22##","MAITLAND","WARD 7","Citizen Mobile Apps","JAN 26, 2023 08:53:35 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","7##","OUELLETTE","WARD 3","Phone","JAN 26, 2023 08:55:03 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","2##","MOY","WARD 4","Phone","JAN 26, 2023 09:09:02 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","5##","SARAH","WARD 9","Phone","JAN 26, 2023 09:13:19 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","14##","FELIX","WARD 2","Phone","JAN 26, 2023 09:21:58 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","10##","CHATHAM","WARD 4","Phone","JAN 26, 2023 09:37:59 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","41##","ROSELAND","WARD 1","Phone","JAN 26, 2023 09:46:56 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","85##","FOXHILL","WARD 6","Phone","JAN 26, 2023 09:48:34 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","11##","MOY","WARD 4","Phone","JAN 26, 2023 09:50:31 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","3##","LAPORTE","WARD 6","Phone","JAN 26, 2023 10:02:45 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","39##","ROSELAND","WARD 1","Phone","JAN 26, 2023 10:05:09 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","28##","RANDOLPH","WARD 10","Phone","JAN 26, 2023 10:09:41 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","30##","MCKAY","WARD 1","Phone","JAN 26, 2023 10:12:37 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","14##","BAYSWATER","WARD 6","Phone","JAN 26, 2023 10:19:19 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","20##","HUDSON","WARD 2","Phone","JAN 26, 2023 10:19:52 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","34##","HARRIS","WARD 2","Phone","JAN 26, 2023 10:24:16 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","9##","YPRES","WARD 4","Phone","JAN 26, 2023 10:27:09 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","4##","LANGLOIS","WARD 4","Phone","JAN 26, 2023 10:32:02 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","34##","HUNTINGTON","WARD 9","Phone","JAN 26, 2023 10:39:06 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance"," ","REGINALD ST & FORD BLVD","WARD 8","Phone","FEB 02, 2023 10:31:47 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","39##","TECUMSEH","WARD 5","Phone","FEB 02, 2023 10:33:38 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","26##","MEIGHEN","WARD 5","Phone","JAN 26, 2023 10:50:58 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","3##","GENEVIEVE","WARD 6","Phone","JAN 26, 2023 10:41:51 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","8##","LOUNSBOROUGH","WARD 9","Phone","JAN 26, 2023 10:49:44 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","3##","ISACK","WARD 6","Phone","JAN 26, 2023 11:00:45 AM"
"Snow Plowing & Salting Request","Contracts, Field Services & Maintenance","31##","MEADOWBROOK","WARD 8","Phone","FEB 01, 2023 08:53:10 AM"
