"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","30##","RADISSON","WARD 1","Phone","JAN 22, 2025 11:07:09 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","5##","OUELLETTE","WARD 3","Phone","JAN 22, 2025 11:58:51 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","HOWARD AVE & EDINBOROUGH ST","WARD 10","Phone","JAN 23, 2025 11:15:55 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","9##","PAVAN","WARD 1","Phone","JAN 22, 2025 03:49:08 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","16##","AUBIN","WARD 5","Phone","JAN 23, 2025 03:38:09 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","ASGARD RD & SHERWAY DR","WARD 7","E-Mail","JAN 14, 2025 08:53:01 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","AURORA DR & HEMLOCK RD","WARD 7","Phone","JAN 14, 2025 12:27:27 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","27##","JACOB","WARD 10","Phone","JAN 15, 2025 01:23:55 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","109##","SPRINGHOLLOW","WARD 7","Citizen Mobile Apps","JAN 15, 2025 08:38:59 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","50##","MCDONALD","WARD 8","Phone","JAN 20, 2025 12:17:38 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","12##","LANGLOIS","WARD 4","Phone","JAN 17, 2025 01:42:10 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","27##","JACOB","WARD 10","Phone","JAN 16, 2025 08:53:36 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","22##","MCKAY","WARD 10","Citizen Mobile Apps","FEB 01, 2025 10:40:16 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","18##","WEST GRAND","WARD 1","Phone","JAN 20, 2025 12:28:00 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","BYNG RD & PARKDALE PL","WARD 10","Phone","JAN 13, 2025 08:17:56 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","ERIE ST W & WELLINGTON AVE","WARD 3","Phone","JAN 13, 2025 09:43:47 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","GLENDALE AVE & CORONATION AVE","WARD 8","Phone","JAN 13, 2025 01:39:35 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","REGINALD ST & AUBIN RD","WARD 5","Phone","JAN 13, 2025 03:40:56 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","BRAMLEY CRES & GARVEY CRES","WARD 10","Phone","JAN 13, 2025 04:02:57 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","RANKIN AVE & GIRARDOT ST","WARD 2","E-Mail","JAN 15, 2025 11:08:43 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","GIRARDOT ST & RANKIN AVE","WARD 2","Phone","JAN 15, 2025 11:36:17 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","16##","AUBIN","WARD 5","Phone","JAN 24, 2025 08:38:49 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","AZAR AVE & LOEBACH DR","WARD 8","Phone","JAN 24, 2025 03:28:28 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","13##","LAKEVIEW","WARD 7","Phone","JAN 27, 2025 10:04:00 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance","9##","BELLAGIO","WARD 7","Citizen Mobile Apps","JAN 24, 2025 02:45:42 PM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","ISABELLE PL & ST ROSE AVE","WARD 6","Phone","JAN 14, 2025 08:13:18 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","WESTMINSTER AVE & LASSALINE AVE","WARD 8","Phone","JAN 14, 2025 08:17:15 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","WESTMINSTER AVE & LASSALINE AVE","WARD 8","Phone","JAN 14, 2025 08:17:44 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","REEDMERE RD & RAYMOND AVE","WARD 6","Phone","JAN 14, 2025 08:23:44 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","GLIDDEN AVE & RAYMOND AVE","WARD 6","Phone","JAN 14, 2025 09:05:40 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","TOURNIER ST & BLOOMFIELD RD","WARD 2","Phone","JAN 16, 2025 11:09:00 AM"
"Snow Removal - Emergency","Contracts, Field Services and Maintenance"," ","GARVEY CRES & BRAMLEY CRES","WARD 10","Phone","JAN 13, 2025 08:19:18 AM"
