"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Tree Maintenance","Forestry and Natural Areas","35##","BLOOMFIELD","WARD 2","Phone","JAN 17, 2025 04:50:54 PM"
"Tree Maintenance","Forestry and Natural Areas","13##","DUFFERIN","WARD 3","Phone","JAN 15, 2025 09:51:04 AM"
"Tree Maintenance","Forestry and Natural Areas","30##","BRIMLEY","WARD 7","Phone","JAN 17, 2025 01:14:08 PM"
"Tree Maintenance","Forestry and Natural Areas","104##","LONSDALE","WARD 7","Phone","JAN 08, 2025 10:37:25 AM"
"Tree Maintenance","Forestry and Natural Areas","11##","RENDEZVOUS","WARD 7","Phone","JAN 09, 2025 02:45:58 PM"
"Tree Maintenance","Forestry and Natural Areas","7##","FELIX","WARD 2","Phone","JAN 10, 2025 09:04:32 AM"
"Tree Maintenance","Forestry and Natural Areas","18##","DURHAM","WARD 4","Phone","JAN 10, 2025 12:39:09 PM"
"Tree Maintenance","Forestry and Natural Areas","10##","ST LOUIS","WARD 6","Phone","JAN 21, 2025 04:31:38 PM"
"Tree Maintenance","Forestry and Natural Areas","20##","SPRING GARDEN","WARD 1","Phone","JAN 21, 2025 04:34:25 PM"
"Tree Maintenance","Forestry and Natural Areas","17##","PARTINGTON","WARD 10","Phone","JAN 02, 2025 09:53:47 AM"
"Tree Maintenance","Forestry and Natural Areas","17##","WESTCOTT","WARD 5","Phone","JAN 17, 2025 10:47:46 AM"
"Tree Maintenance","Forestry and Natural Areas","20##","SPRING GARDEN","WARD 1","Phone","JAN 08, 2025 11:03:56 AM"
"Tree Maintenance","Forestry and Natural Areas","17##","PARTINGTON","WARD 10","Phone","JAN 02, 2025 09:54:23 AM"
"Tree Maintenance","Forestry and Natural Areas","37##","LAUZON","WARD 9","Phone","JAN 03, 2025 09:40:58 AM"
"Tree Maintenance","Forestry and Natural Areas","35##","BLOOMFIELD","WARD 2","Phone","JAN 07, 2025 09:40:49 AM"
"Tree Maintenance","Forestry and Natural Areas","47##","RIVERSIDE","WARD 6","Phone","JAN 28, 2025 03:08:30 PM"
"Tree Maintenance","Forestry and Natural Areas","25##","VIRGINIA PARK","WARD 10","Phone","FEB 14, 2025 01:50:52 PM"
"Tree Maintenance","Forestry and Natural Areas","2##","MARENTETTE","WARD 4","Phone","FEB 18, 2025 03:37:14 PM"
"Tree Maintenance","Forestry and Natural Areas","8##","LAPORTE","WARD 6","Phone","FEB 10, 2025 11:16:25 AM"
"Tree Maintenance","Forestry and Natural Areas","10##","RIVERDALE","WARD 6","Phone","FEB 11, 2025 12:48:35 PM"
"Tree Maintenance","Forestry and Natural Areas","6##","GRAND MARAIS","WARD 10","Phone","FEB 24, 2025 09:37:48 AM"
