"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Abandoned Vehicle","Parking Enforcement","13##","LINCOLN","WARD 4","Citizen Mobile Apps","JAN 04, 2026 01:42:42 PM"
"Abandoned Vehicle","Parking Enforcement","2##","GLADSTONE","WARD 4","Citizen Mobile Apps","JAN 06, 2026 04:15:17 PM"
"Abandoned Vehicle","Parking Enforcement","14##","PARENT","WARD 4","Phone","JAN 07, 2026 02:35:49 PM"
"Abandoned Vehicle","Parking Enforcement","11##","LINCOLN","WARD 4","Phone","FEB 20, 2026 09:49:11 AM"
"Abandoned Vehicle","Parking Enforcement","16##","HICKORY","WARD 5","Phone","JAN 23, 2026 02:58:41 PM"
"Abandoned Vehicle","Parking Enforcement","6##","BRIDGE","WARD 2","Phone","FEB 04, 2026 01:36:50 PM"
"Abandoned Vehicle","Parking Enforcement","32##","RIBERDY","WARD 9","Phone","FEB 11, 2026 10:14:36 AM"
"Abandoned Vehicle","Parking Enforcement","7##","VANIER","WARD 10","Phone","FEB 20, 2026 03:31:11 PM"
"Abandoned Vehicle","Parking Enforcement","46##","UNICORN","WARD 9","Citizen Mobile Apps","JAN 30, 2026 04:43:44 PM"
"Abandoned Vehicle","Parking Enforcement","28##","WHELPTON","WARD 5","Citizen Mobile Apps","JAN 31, 2026 12:12:32 PM"
"Abandoned Vehicle","Parking Enforcement","18##","PILLETTE","WARD 8","Citizen Mobile Apps","FEB 21, 2026 04:48:15 PM"
"Abandoned Vehicle","Parking Enforcement","10##","JOSEPHINE","WARD 2","Phone","JAN 21, 2026 09:49:40 AM"
"Abandoned Vehicle","Parking Enforcement","9##","MCEWAN","WARD 2","Phone","JAN 26, 2026 08:47:21 AM"
"Abandoned Vehicle","Parking Enforcement","22##","HALL","WARD 4","Citizen Mobile Apps","JAN 28, 2026 12:35:57 PM"
"Abandoned Vehicle","Parking Enforcement","11##","JOSEPHINE","WARD 2","Citizen Mobile Apps","JAN 11, 2026 08:19:22 PM"
"Abandoned Vehicle","Parking Enforcement","10##","WYANDOTTE","WARD 4","Citizen Web Intake App","JAN 10, 2026 07:34:05 PM"
"Abandoned Vehicle","Parking Enforcement","71##","TECUMSEH","WARD 8","Citizen Mobile Apps","JAN 13, 2026 11:59:03 AM"
"Abandoned Vehicle","Parking Enforcement","10##","JOSEPHINE","WARD 2","Citizen Mobile Apps","JAN 14, 2026 11:37:50 AM"
"Abandoned Vehicle","Parking Enforcement","22##","DANDURAND","WARD 10","Phone","JAN 02, 2026 01:36:39 PM"
"Abandoned Vehicle","Parking Enforcement","25##","ONTARIO","WARD 5","Phone","JAN 06, 2026 01:01:31 PM"
"Abandoned Vehicle","Parking Enforcement","19##","WESTCOTT","WARD 5","Citizen Mobile Apps","JAN 01, 2026 05:57:48 PM"
"Abandoned Vehicle","Parking Enforcement","10##","OAK","WARD 3","Phone","JAN 06, 2026 12:46:00 PM"
"Abandoned Vehicle","Parking Enforcement","37##","BIRCH","WARD 2","Phone","JAN 20, 2026 01:18:47 PM"
