"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Accessibility Concerns - Buildings","Building Services","26##","LAUZON","WARD 8","Phone","MAY 31, 2024 10:37:49 AM"
"Accessibility Concerns - Buildings","Building Services","85##","RIVERSIDE","WARD 6","Phone","MAY 13, 2024 09:21:07 AM"
"Accessibility Concerns - Buildings","Building Services","85##","RIVERSIDE","WARD 6","Phone","JUN 05, 2024 09:21:40 AM"
"Accessibility Concerns - Buildings","Building Services","18##","PROVINCIAL","WARD 9","Phone","JUN 14, 2024 12:02:53 PM"
"Accessibility Concerns - Buildings","Building Services","6##","AYLMER","WARD 4","Phone","JUL 02, 2024 02:00:19 PM"
"Accessibility Concerns - Buildings","Building Services","48##","WYANDOTTE","WARD 6","Phone","JUN 25, 2024 03:05:12 PM"
"Accessibility Concerns - Buildings","Building Services","50##","WYANDOTTE","WARD 6","Phone","OCT 29, 2024 09:51:38 AM"
"Accessibility Concerns - Buildings","Building Services","29##","WILDWOOD","WARD 7","Phone","JAN 04, 2024 11:10:26 AM"
"Accessibility Concerns - Buildings","Building Services","21##","CHRYSLER CENTRE","WARD 5","Phone","OCT 29, 2024 11:22:43 AM"
"Accessibility Concerns - Buildings","Building Services","28##","PILLETTE","WARD 8","Phone","JUL 23, 2024 12:39:44 PM"
"Accessibility Concerns - Buildings","Building Services","11##","CHILVER","WARD 4","Phone","SEP 18, 2024 07:09:03 PM"
"Accessibility Concerns - Buildings","Building Services","5##","SCOFIELD","WARD 9","Phone","SEP 18, 2024 07:31:06 PM"
"Accessibility Concerns - Buildings","Building Services","38##","DOUGALL","WARD 9","Phone","OCT 22, 2024 10:49:21 AM"
"Accessibility Concerns - Buildings","Building Services","38##","DOUGALL","WARD 9","Phone","OCT 22, 2024 10:55:45 AM"
"Accessibility Concerns - Buildings","Building Services","3##","PELISSIER","WARD 3","Phone","AUG 15, 2024 02:32:18 PM"
"Accessibility Concerns - Buildings","Building Services","64##","TECUMSEH","WARD 8","Phone","FEB 13, 2024 03:21:37 PM"
"Accessibility Concerns - Buildings","Building Services","1##","JANETTE","WARD 3","Phone","JUN 27, 2024 12:38:04 PM"
"Accessibility Concerns - Buildings","Building Services","24##","DOUGALL","WARD 10","Phone","FEB 08, 2024 04:01:49 PM"
"Accessibility Concerns - Buildings","Building Services","30##","SANDWICH","WARD 2","Phone","FEB 26, 2024 12:58:03 PM"
"Accessibility Concerns - Buildings","Building Services","30##","HOWARD","WARD 9","Phone","JUN 14, 2024 03:56:40 PM"
"Accessibility Concerns - Buildings","Building Services","87##","MCHUGH","WARD 6","E-Mail","JUN 03, 2024 12:33:09 PM"
"Accessibility Concerns - Buildings","Building Services","48##","8TH CON","WARD 9","E-Mail","JUN 04, 2024 08:50:27 AM"
"Accessibility Concerns - Buildings","Building Services","4##","OUELLETTE","WARD 3","Citizen Mobile Apps","MAY 28, 2024 11:47:23 AM"
"Accessibility Concerns - Buildings","Building Services","4##","OUELLETTE","WARD 3","Citizen Mobile Apps","MAY 28, 2024 02:13:40 PM"
"Accessibility Concerns - Buildings","Building Services","28##","HOWARD","WARD 10","E-Mail","AUG 28, 2024 10:01:10 AM"
"Accessibility Concerns - Buildings","Building Services","85##","RIVERSIDE","WARD 6","Phone","JUL 15, 2024 11:52:53 AM"
