"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Building Condition Complaint","Building Services","26##","MELDRUM","WARD 5","Phone","JAN 21, 2025 10:55:18 AM"
"Building Condition Complaint","Building Services","12##","OTTAWA","WARD 4","Phone","JAN 21, 2025 01:49:27 PM"
"Building Condition Complaint","Building Services","25##","LAUZON","WARD 8","Citizen Web Intake App","JAN 21, 2025 02:45:01 PM"
"Building Condition Complaint","Building Services","4##","OAK","WARD 3","Phone","JAN 10, 2025 11:56:14 AM"
"Building Condition Complaint","Building Services","34##","YPRES","WARD 5","Phone","JAN 13, 2025 12:29:33 PM"
"Building Condition Complaint","Building Services","16##","OUELLETTE","WARD 3","Phone","JAN 16, 2025 01:55:56 PM"
"Building Condition Complaint","Building Services","10##","CALIFORNIA","WARD 2","Phone","JAN 17, 2025 01:10:58 PM"
"Building Condition Complaint","Building Services","26##","MELDRUM","WARD 5","Phone","JAN 21, 2025 11:26:07 AM"
"Building Condition Complaint","Building Services","25##","CENTRAL","WARD 5","Phone","JAN 31, 2025 03:17:34 PM"
"Building Condition Complaint","Building Services","10##","RIVERDALE","WARD 6","Phone","FEB 03, 2025 12:25:23 PM"
"Building Condition Complaint","Building Services","5##","ALLENDALE","WARD 4","Phone","FEB 04, 2025 08:43:51 AM"
"Building Condition Complaint","Building Services","11##","DROUILLARD","WARD 5","Phone","FEB 04, 2025 10:40:41 AM"
"Building Condition Complaint","Building Services","8##","PRADO","WARD 6","Phone","JAN 08, 2025 11:37:24 AM"
"Building Condition Complaint","Building Services","18##","RICHMOND","WARD 4","Phone","JAN 21, 2025 02:35:14 PM"
"Building Condition Complaint","Building Services","22##","VICTORIA","WARD 3","Phone","JAN 14, 2025 11:34:10 AM"
"Building Condition Complaint","Building Services","17##","SOUTH CAMERON","WARD 10","Phone","JAN 23, 2025 03:05:53 PM"
"Building Condition Complaint","Building Services","8##","ASSUMPTION","WARD 4","Phone","JAN 21, 2025 10:50:23 AM"
"Building Condition Complaint","Building Services","13##","LANGLOIS","WARD 4","Phone","JAN 07, 2025 08:47:06 AM"
