"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Building / Land - Improper Use","Building Services","13##","CALVERT","WARD 9","Phone","SEP 23, 2024 12:12:13 PM"
"Building / Land - Improper Use","Building Services","38##","BIRCH","WARD 2","Phone","OCT 01, 2024 10:13:34 AM"
"Building / Land - Improper Use","Building Services","22##","TURNER","WARD 4","Phone","OCT 03, 2024 09:16:17 AM"
"Building / Land - Improper Use","Building Services","4##","ERIE","WARD 3","Citizen Mobile Apps","AUG 29, 2024 08:53:07 PM"
"Building / Land - Improper Use","Building Services","30##","SUFFOLK","WARD 7","Phone","OCT 01, 2024 11:06:37 AM"
"Building / Land - Improper Use","Building Services","15##","NORMAN","WARD 8","Phone","OCT 02, 2024 03:13:58 PM"
"Building / Land - Improper Use","Building Services","10##","FRANK","WARD 6","Web Intake","SEP 04, 2024 08:14:32 PM"
"Building / Land - Improper Use","Building Services","10##","LOUIS","WARD 4","Web Intake","SEP 15, 2024 06:06:41 PM"
"Building / Land - Improper Use","Building Services","30##","PILLETTE","WARD 8","Phone","SEP 25, 2024 12:25:20 PM"
"Building / Land - Improper Use","Building Services","12##","AUBIN","WARD 5","Phone","NOV 18, 2024 09:14:00 AM"
"Building / Land - Improper Use","Building Services","80##","WYANDOTTE","WARD 6","Phone","AUG 29, 2024 09:29:59 AM"
"Building / Land - Improper Use","Building Services","18##","BUCKINGHAM","WARD 8","Phone","OCT 03, 2024 08:11:40 AM"
"Building / Land - Improper Use","Building Services","27##","LLOYD GEORGE","WARD 8","Phone","OCT 03, 2024 11:53:36 AM"
"Building / Land - Improper Use","Building Services","30##","TROUP","WARD 7","Phone","OCT 09, 2024 02:50:25 PM"
"Building / Land - Improper Use","Building Services","11##","ICEWATER","WARD 7","Citizen Mobile Apps","OCT 11, 2024 11:36:30 AM"
"Building / Land - Improper Use","Building Services","88##","RIVERSIDE","WARD 6","Citizen Mobile Apps","MAY 31, 2024 10:57:55 AM"
"Building / Land - Improper Use","Building Services","83##","KINGSTON","WARD 6","Phone","JUN 03, 2024 12:11:02 PM"
"Building / Land - Improper Use","Building Services","9##","BRIDGE","WARD 2","Phone","JUN 12, 2024 02:01:48 PM"
"Building / Land - Improper Use","Building Services","10##","JANISSE","WARD 6","Phone","JUN 13, 2024 03:15:21 PM"
"Building / Land - Improper Use","Building Services","4##","CHRISTOPHER","WARD 6","E-Mail","JUN 21, 2024 11:28:03 AM"
"Building / Land - Improper Use","Building Services","31##","HALPIN","WARD 7","Citizen Mobile Apps","JUN 28, 2024 11:42:39 AM"
"Building / Land - Improper Use","Building Services","17##","CURRY","WARD 10","E-Mail","JUL 02, 2024 10:18:40 AM"
"Building / Land - Improper Use","Building Services","17##","MCKAY","WARD 10","Phone","JUL 02, 2024 12:41:42 PM"
"Building / Land - Improper Use","Building Services","16##","VIRTUE","WARD 6","E-Mail","JUL 03, 2024 09:42:18 AM"
"Building / Land - Improper Use","Building Services","5##","JARVIS","WARD 7","Phone","JUL 08, 2024 09:16:30 AM"
