"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Curb Complaint","Contracts, Field Services and Maintenance","95##","AVERY","WARD 7","Phone","SEP 25, 2024 01:06:28 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","5##","VICTORIA","WARD 3","Citizen Mobile Apps","SEP 26, 2024 08:59:14 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","76##","TECUMSEH","WARD 8","Phone","OCT 22, 2024 12:10:36 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","21##","WOODLAWN","WARD 4","Phone","NOV 20, 2024 01:19:07 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","100##","TECUMSEH","WARD 7","Citizen Mobile Apps","JUL 31, 2024 04:38:54 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","15##","CHANDLER","WARD 5","Phone","AUG 22, 2024 02:20:42 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","20##","TALBOT","WARD 1","E-Mail","AUG 26, 2024 11:46:00 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","1##","SHEPHERD","WARD 3","Phone","AUG 27, 2024 01:50:03 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","6##","ATKINSON","WARD 10","Citizen Mobile Apps","AUG 27, 2024 06:42:10 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","101##","CALEDON","WARD 7","Citizen Mobile Apps","AUG 31, 2024 04:16:58 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","21##","CHILVER","WARD 4","Citizen Mobile Apps","SEP 04, 2024 04:44:40 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","16##","PELISSIER","WARD 3","E-Mail","AUG 28, 2024 09:47:13 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","28##","ORION","WARD 10","Citizen Mobile Apps","JUN 15, 2024 01:51:39 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","0##","MILL","WARD 2","Phone","JUL 05, 2024 12:52:51 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","13##","GOYEAU","WARD 3","Citizen Mobile Apps","MAY 29, 2024 10:57:56 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","35##","WOLFE","WARD 2","Phone","JUN 19, 2024 02:27:27 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","5##","BEDFORD","WARD 9","Web Intake","SEP 03, 2024 10:56:26 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","16##","RANDOLPH","WARD 10","Citizen Mobile Apps","JUL 01, 2024 04:14:15 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","44##","CHERRY HILL","WARD 1","Phone","APR 02, 2024 10:18:21 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","11##","COVENTRY","WARD 6","Citizen Mobile Apps","JUL 21, 2024 02:38:00 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","22##","RANKIN","WARD 10","Citizen Mobile Apps","SEP 10, 2024 07:51:44 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","87##","WYANDOTTE","WARD 6","Citizen Mobile Apps","JUL 16, 2024 01:04:16 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","38##","WILDWOOD","WARD 7","Citizen Mobile Apps","SEP 12, 2024 06:26:30 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","3##","LAUZON","WARD 6","Phone","JUL 22, 2024 01:08:51 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","54##","OJIBWAY","WARD 1","Citizen Mobile Apps","AUG 15, 2024 03:37:17 AM"
"Curb Complaint","Contracts, Field Services and Maintenance"," ","ST ROSE AVE & WYANDOTTE ST E","WARD 6","Phone","NOV 29, 2024 02:19:55 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","31##","RIVARD","WARD 8","Phone","AUG 12, 2024 03:19:52 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","16##","BUCKINGHAM","WARD 8","Phone","DEC 23, 2024 10:48:31 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","9##","VILLAIRE","WARD 6","E-Mail","NOV 01, 2024 02:58:40 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","37##","HUNTINGTON","WARD 9","Citizen Mobile Apps","NOV 07, 2024 09:37:28 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","42##","MOUNT SINAI","WARD 1","Citizen Mobile Apps","DEC 11, 2024 09:29:32 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","87##","WYANDOTTE","WARD 6","Citizen Mobile Apps","MAR 12, 2024 10:09:13 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","28##","TECUMSEH","WARD 5","Citizen Mobile Apps","JAN 29, 2024 08:33:45 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","31##","DOUGALL","WARD 9","Citizen Mobile Apps","FEB 14, 2024 02:24:31 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","24##","MCDOUGALL","WARD 10","Citizen Mobile Apps","FEB 15, 2024 02:50:17 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","28##","GLENWOOD","WARD 10","Phone","JUN 25, 2024 10:55:18 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","101##","PULBROOK","WARD 7","Phone","AUG 02, 2024 01:31:26 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","16##","RANKIN","WARD 10","Citizen Mobile Apps","FEB 07, 2024 10:14:24 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","114##","FIRGROVE","WARD 7","Phone","FEB 08, 2024 02:18:07 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","5##","DOUGALL","WARD 3","Phone","JUN 20, 2024 12:07:21 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","8##","OTTAWA","WARD 4","Citizen Mobile Apps","JUN 18, 2024 03:43:06 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","18##","MOY","WARD 4","Citizen Mobile Apps","FEB 10, 2024 09:36:16 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","11##","GATESIDE","WARD 6","Citizen Mobile Apps","JUL 17, 2024 04:08:38 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","16##","ST GABRIEL","WARD 1","Phone","JUL 22, 2024 10:11:30 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","10##","FELIX","WARD 2","Phone","APR 04, 2024 11:27:22 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","27##","ROBERT","WARD 5","Phone","JAN 24, 2024 01:55:17 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","34##","AVONDALE","WARD 1","Phone","APR 17, 2024 09:08:59 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","31##","BYNG","WARD 9","Citizen Mobile Apps","APR 18, 2024 01:15:50 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","36##","AVONDALE","WARD 1","Phone","MAR 15, 2024 10:18:09 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","71##","ISABELLE","WARD 6","Phone","APR 23, 2024 09:26:33 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","19##","CABANA","WARD 1","Web Intake","JUN 04, 2024 09:02:55 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","34##","DRIFTWOOD","WARD 1","Citizen Mobile Apps","MAY 06, 2024 11:34:44 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","32##","ACADEMY","WARD 1","Phone","JAN 31, 2024 03:44:53 PM"
"Curb Complaint","Contracts, Field Services and Maintenance","21##","BRUCE","WARD 3","Citizen Mobile Apps","MAY 29, 2024 10:43:56 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","87##","WYANDOTTE","WARD 6","Citizen Mobile Apps","MAR 12, 2024 10:11:10 AM"
"Curb Complaint","Contracts, Field Services and Maintenance","19##","COLUMBIA","WARD 10","E-Mail","AUG 06, 2024 03:40:53 PM"
