"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Dead Animal Removal","Environmental Services","48##","MATCHETT","WARD 1","Citizen Mobile Apps","AUG 18, 2025 07:06:40 AM"
"Dead Animal Removal","Environmental Services","47##","MATCHETT","WARD 1","Citizen Mobile Apps","AUG 18, 2025 07:59:03 AM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE","WARD 3","Citizen Mobile Apps","AUG 18, 2025 01:35:37 PM"
"Dead Animal Removal","Environmental Services","14##","COUSINEAU","WARD 1","Citizen Mobile Apps","AUG 18, 2025 01:55:46 PM"
"Dead Animal Removal","Environmental Services"," ","RIVERSIDE DR W & JANETTE AVE","WARD 3","Phone","AUG 18, 2025 01:57:05 PM"
"Dead Animal Removal","Environmental Services","2##","MORTON","WARD 1","Citizen Mobile Apps","AUG 18, 2025 02:30:12 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW OFF","WARD 9","Citizen Mobile Apps","AUG 18, 2025 03:28:28 PM"
"Dead Animal Removal","Environmental Services","48##","MATCHETT","WARD 1","Citizen Mobile Apps","AUG 18, 2025 01:19:30 PM"
"Dead Animal Removal","Environmental Services"," ","JANETTE AVE & RIVERSIDE DR W","WARD 3","Phone","AUG 18, 2025 02:10:40 PM"
"Dead Animal Removal","Environmental Services"," ","GREENDALE DR & WYANDOTTE ST E","WARD 6","Phone","SEP 26, 2025 11:04:44 AM"
"Dead Animal Removal","Environmental Services","17##","AUBIN","WARD 5","Phone","SEP 26, 2025 11:14:56 AM"
"Dead Animal Removal","Environmental Services","22##","DOUGALL","WARD 3","Phone","SEP 26, 2025 09:35:53 AM"
"Dead Animal Removal","Environmental Services","25##","KILDARE","WARD 4","Citizen Mobile Apps","SEP 26, 2025 10:47:51 AM"
"Dead Animal Removal","Environmental Services","15##","MOY","WARD 4","Citizen Mobile Apps","AUG 09, 2025 09:40:12 AM"
"Dead Animal Removal","Environmental Services","38##","RIBERDY","WARD 9","Citizen Mobile Apps","AUG 09, 2025 11:10:53 AM"
"Dead Animal Removal","Environmental Services"," ","TECUMSEH RD E & PLAZA ACCESS RD-CANADIAN TIRE-EASTTOWN","WARD 8","Phone","JUL 14, 2025 08:11:50 AM"
"Dead Animal Removal","Environmental Services","7##","ROSELAWN","WARD 1","Citizen Web Intake App","JUL 14, 2025 09:10:58 AM"
"Dead Animal Removal","Environmental Services","3##","WATKINS","WARD 2","Phone","JUL 14, 2025 01:33:47 PM"
"Dead Animal Removal","Environmental Services","43##","MOUNT ROYAL","WARD 1","Citizen Mobile Apps","JUL 14, 2025 02:23:17 PM"
"Dead Animal Removal","Environmental Services","22##","LONGFELLOW","WARD 10","Phone","JUL 14, 2025 03:12:12 PM"
"Dead Animal Removal","Environmental Services","3##","PARENT","WARD 4","Phone","JUL 14, 2025 03:12:41 PM"
"Dead Animal Removal","Environmental Services","3##","WATKINS","WARD 2","Citizen Mobile Apps","JUL 14, 2025 01:53:06 PM"
"Dead Animal Removal","Environmental Services","8##","FAIRVIEW","WARD 6","Citizen Mobile Apps","AUG 27, 2025 11:05:21 PM"
"Dead Animal Removal","Environmental Services","39##","ROSELAND","WARD 1","Phone","AUG 28, 2025 08:14:13 AM"
"Dead Animal Removal","Environmental Services","1##","OAK","WARD 3","Phone","AUG 28, 2025 11:13:10 AM"
"Dead Animal Removal","Environmental Services","62##","RIVERSIDE","WARD 6","Phone","AUG 28, 2025 11:37:16 AM"
"Dead Animal Removal","Environmental Services"," ","OAK AVE & RIVERSIDE DR W","WARD 3","Phone","AUG 28, 2025 03:42:13 PM"
"Dead Animal Removal","Environmental Services","32##","LAUZON","WARD 8","Citizen Mobile Apps","SEP 18, 2025 10:51:21 AM"
"Dead Animal Removal","Environmental Services","9##","EASTLAWN","WARD 6","Phone","SEP 18, 2025 11:19:53 AM"
"Dead Animal Removal","Environmental Services","19##","CABANA","WARD 1","Citizen Mobile Apps","SEP 18, 2025 12:20:04 PM"
"Dead Animal Removal","Environmental Services","29##","WILDWOOD","WARD 7","Citizen Mobile Apps","SEP 18, 2025 01:04:20 PM"
"Dead Animal Removal","Environmental Services","74##","TECUMSEH","WARD 8","Citizen Mobile Apps","SEP 18, 2025 01:32:35 PM"
"Dead Animal Removal","Environmental Services","9##","WESTMINSTER","WARD 6","Phone","JUL 22, 2025 08:30:28 AM"
"Dead Animal Removal","Environmental Services","40##","MALDEN","WARD 2","Phone","JUL 22, 2025 03:32:37 PM"
"Dead Animal Removal","Environmental Services","17##","PARKWAY","WARD 2","Phone","JUL 22, 2025 03:56:37 PM"
"Dead Animal Removal","Environmental Services"," ","DOUGALL","WARD 3","Citizen Mobile Apps","JUL 27, 2025 09:43:28 AM"
"Dead Animal Removal","Environmental Services"," ","EC ROW ON","WARD 9","Citizen Mobile Apps","JUL 28, 2025 01:09:32 PM"
"Dead Animal Removal","Environmental Services","24##","OUELLETTE","WARD 10","Citizen Mobile Apps","JUL 28, 2025 02:16:01 PM"
"Dead Animal Removal","Environmental Services"," ","EC ROW RAMP W & JEFFERSON BLVD","WARD 8","E-Mail","JUL 28, 2025 03:24:51 PM"
"Dead Animal Removal","Environmental Services","15##","RIVERSIDE","WARD 2","Phone","JUL 29, 2025 11:02:30 AM"
"Dead Animal Removal","Environmental Services","31##","ROBINET","WARD 7","Citizen Mobile Apps","JUL 29, 2025 12:34:15 PM"
"Dead Animal Removal","Environmental Services"," ","GLENGARRY AVE & TUSCARORA ST","WARD 3","Phone","JUL 29, 2025 01:54:10 PM"
"Dead Animal Removal","Environmental Services","11##","NORTH SERVICE","WARD 10","E-Mail","SEP 15, 2025 03:25:49 PM"
"Dead Animal Removal","Environmental Services","11##","NORTH","WARD 10","Citizen Mobile Apps","SEP 15, 2025 03:38:43 PM"
"Dead Animal Removal","Environmental Services","52##","MALDEN","WARD 1","Citizen Mobile Apps","SEP 15, 2025 04:55:14 PM"
"Dead Animal Removal","Environmental Services","4##","BELLE ISLE VIEW","WARD 6","Citizen Mobile Apps","SEP 16, 2025 06:35:28 AM"
"Dead Animal Removal","Environmental Services","11##","NORTH SERVICE","WARD 10","Phone","SEP 16, 2025 09:08:00 AM"
"Dead Animal Removal","Environmental Services","39##","MALDEN","WARD 2","Phone","SEP 16, 2025 09:40:28 AM"
"Dead Animal Removal","Environmental Services","52##","MALDEN","WARD 1","Phone","SEP 16, 2025 09:41:44 AM"
"Dead Animal Removal","Environmental Services"," ","LAUZON RD & RIVERSIDE DR E","WARD 6","Phone","SEP 16, 2025 10:22:47 AM"
"Dead Animal Removal","Environmental Services","23##","FOREST","WARD 4","Citizen Mobile Apps","SEP 16, 2025 11:25:42 AM"
"Dead Animal Removal","Environmental Services","80##","RIVERSIDE","WARD 6","Phone","SEP 16, 2025 12:24:17 PM"
"Dead Animal Removal","Environmental Services","32##","LINWOOD","WARD 2","Phone","SEP 16, 2025 12:25:02 PM"
"Dead Animal Removal","Environmental Services","79##","RIVERSIDE","WARD 6","Phone","SEP 16, 2025 01:10:38 PM"
"Dead Animal Removal","Environmental Services"," ","LAUZON RD & RIVERSIDE DR E","WARD 6","Phone","SEP 16, 2025 02:30:31 PM"
"Dead Animal Removal","Environmental Services","22##","RANDOLPH","WARD 10","Citizen Mobile Apps","JUL 17, 2025 11:55:04 AM"
"Dead Animal Removal","Environmental Services","24##","NORTHWOOD","WARD 10","Citizen Mobile Apps","JUL 17, 2025 02:54:25 PM"
"Dead Animal Removal","Environmental Services","35##","VICTORIA","WARD 9","Citizen Mobile Apps","JUL 17, 2025 09:21:21 PM"
"Dead Animal Removal","Environmental Services"," ","HOWARD AVE & TECUMSEH RD E","WARD 3","Phone","SEP 18, 2025 03:40:46 PM"
"Dead Animal Removal","Environmental Services","4##","RIVERSIDE","WARD 3","Citizen Mobile Apps","SEP 18, 2025 04:15:47 PM"
"Dead Animal Removal","Environmental Services","8##","JOS JANISSE","WARD 5","Citizen Mobile Apps","OCT 06, 2025 02:59:46 PM"
"Dead Animal Removal","Environmental Services","11##","OUELLETTE","WARD 3","Phone","OCT 03, 2025 03:33:14 PM"
"Dead Animal Removal","Environmental Services","17##","CALDERWOOD","WARD 9","Phone","OCT 04, 2025 02:40:50 PM"
"Dead Animal Removal","Environmental Services","27##","LONGFELLOW","WARD 10","Citizen Mobile Apps","OCT 04, 2025 07:36:27 PM"
"Dead Animal Removal","Environmental Services","71##","RIVERSIDE","WARD 6","Citizen Mobile Apps","OCT 09, 2025 08:23:31 AM"
"Dead Animal Removal","Environmental Services"," ","RAYMOND AVE & ST MARY'S BLVD","WARD 6","E-Mail","OCT 09, 2025 08:52:49 AM"
"Dead Animal Removal","Environmental Services","8##","LINCOLN","WARD 4","E-Mail","OCT 10, 2025 08:05:11 AM"
