"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","17##","CYPRESS","WARD 7","Phone","AUG 06, 2024 09:01:49 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","12##","GRAND MARAIS","WARD 10","Web Intake","AUG 06, 2024 10:39:57 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","10##","SHEPHERD","WARD 4","Citizen Mobile Apps","AUG 06, 2024 11:55:17 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","12##","PRINCE","WARD 2","Phone","AUG 06, 2024 12:27:32 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","12##","PIERRE","WARD 4","Phone","AUG 06, 2024 01:31:53 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","23##","ST CLAIR","WARD 10","Citizen Mobile Apps","AUG 06, 2024 02:06:09 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","7##","GILES","WARD 4","Phone","AUG 06, 2024 02:20:17 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","11##","SOUTH PACIFIC","WARD 10","Phone","AUG 06, 2024 02:26:18 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","11##","WALKER","WARD 4","Phone","AUG 06, 2024 02:48:41 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","35##","QUEEN","WARD 2","Phone","AUG 06, 2024 03:26:49 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","23##","COLLEGE","WARD 2","E-Mail","AUG 06, 2024 03:28:49 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","14##","DROUILLARD","WARD 5","Phone","AUG 07, 2024 08:44:49 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","3##","LINCOLN","WARD 4","E-Mail","AUG 07, 2024 09:11:55 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","4##","ST JOHN","WARD 6","Phone","AUG 07, 2024 09:19:58 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","2##","BRIDGE","WARD 2","E-Mail","AUG 07, 2024 11:49:11 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","32##","ROSEBRIAR","WARD 7","Phone","AUG 07, 2024 11:57:13 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","13##","JOSEPHINE","WARD 2","Phone","AUG 07, 2024 12:53:37 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","16##","MARENTETTE","WARD 4","Phone","AUG 07, 2024 03:08:38 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","3##","BRUCE","WARD 3","Phone","AUG 07, 2024 03:20:45 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","8##","MARION","WARD 4","Phone","AUG 08, 2024 09:46:43 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","10##","OAK","WARD 3","Citizen Mobile Apps","AUG 08, 2024 11:43:40 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","1##","MCEWAN","WARD 2","Phone","AUG 08, 2024 12:05:44 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","86##","MCHUGH","WARD 6","Phone","AUG 08, 2024 01:38:29 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","8##","LYNN","WARD 9","Phone","JUN 28, 2024 10:38:09 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","7##","LYNN","WARD 9","E-Mail","AUG 12, 2024 09:00:47 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","10##","GARDEN COURT","WARD 6","Phone","AUG 14, 2024 08:14:28 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","18##","WALKER","WARD 4","Citizen Mobile Apps","AUG 15, 2024 04:37:14 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","13##","PROVINCIAL","WARD 9","Phone","JUL 23, 2024 11:06:57 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","10##","PIERRE","WARD 4","Web Intake","AUG 17, 2024 10:57:05 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","10##","LINCOLN","WARD 4","Phone","AUG 19, 2024 12:06:42 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","10##","SCOFIELD","WARD 9","Phone","JUL 31, 2024 02:29:55 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","9##","CHURCH","WARD 3","Phone","AUG 27, 2024 09:56:10 AM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","18##","GEORGE","WARD 5","Phone","AUG 02, 2024 03:18:18 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","32##","LINWOOD","WARD 2","Phone","AUG 30, 2024 12:30:19 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","26##","JAMAICA","WARD 10","Phone","AUG 30, 2024 01:04:31 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","9##","BRUCE","WARD 3","Phone","AUG 30, 2024 02:02:59 PM"
"Dirty Yard / Alley","Policy, Gaming, Licencing and Bylaw Enforcement","16##","MARENTETTE","WARD 4","Phone","AUG 07, 2024 03:08:37 PM"
