"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","35##","WELLS","WARD 2","Phone","FEB 03, 2026 12:51:25 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","119##","BOULDER","WARD 7","Phone","MAR 09, 2026 11:24:43 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","4##","GLENGARRY","WARD 3","Citizen Mobile Apps","JAN 25, 2026 03:21:51 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","22##","SECORD","WARD 2","Phone","FEB 02, 2026 02:57:07 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","8##","LANGLOIS","WARD 4","E-Mail","MAR 06, 2026 04:00:11 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","13##","DARLINGTON","WARD 6","Citizen Mobile Apps","MAR 10, 2026 07:58:46 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","23##","FRASER","WARD 4","Citizen Web Intake App","MAR 10, 2026 09:37:32 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","7##","SHEPHERD","WARD 4","Citizen Mobile Apps","FEB 04, 2026 03:42:25 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","10##","BANWELL","WARD 7","Phone","FEB 09, 2026 03:38:56 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","15##","HOWARD","WARD 4","Citizen Mobile Apps","JAN 20, 2026 10:28:56 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","11##","HOMEDALE","WARD 6","Citizen Mobile Apps","MAR 08, 2026 07:43:15 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","11##","HOMEDALE","WARD 6","Citizen Mobile Apps","MAR 09, 2026 07:19:31 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","119##","BOULDER","WARD 7","Phone","FEB 13, 2026 11:07:55 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","93##","RYERSON","WARD 7","Citizen Mobile Apps","MAR 03, 2026 03:03:13 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","1##","ELM","WARD 3","Phone","MAR 06, 2026 01:27:38 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","6##","JANETTE","WARD 3","Citizen Mobile Apps","MAR 08, 2026 07:43:13 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","29##","GRANDVIEW","WARD 8","Phone","FEB 10, 2026 12:54:07 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","13##","GOYEAU","WARD 3","Citizen Mobile Apps","FEB 10, 2026 12:54:28 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","22##","VICTORIA","WARD 3","Citizen Web Intake App","FEB 05, 2026 12:54:10 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","23##","ROSSINI","WARD 5","Phone","JAN 13, 2026 03:11:00 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","9##","PELISSIER","WARD 3","Phone","JAN 06, 2026 03:49:39 PM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","8##","MOY","WARD 4","Phone","FEB 24, 2026 09:43:24 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","95##","AVERY","WARD 7","Phone","JAN 09, 2026 08:49:51 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","10##","WIGLE","WARD 2","Citizen Web Intake App","JAN 10, 2026 09:39:36 AM"
"Dog Complaint","Policy, Gaming, Licencing and Bylaw Enforcement","19##","WESTMINSTER","WARD 8","Citizen Mobile Apps","JAN 10, 2026 01:25:50 AM"
