"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","9##","PIERRE","WARD 4","Phone","MAY 05, 2026 03:39:56 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","31##","MULBERRY","WARD 7","Citizen Web Intake App","MAY 09, 2026 01:58:46 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","33##","RIBERDY","WARD 9","Phone","APR 02, 2026 09:51:36 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","17##","ST LUKE","WARD 5","Citizen Web Intake App","MAY 01, 2026 09:39:50 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","23##","MERCER","WARD 3","Phone","APR 10, 2026 02:49:59 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","17##","ST LUKE","WARD 5","Citizen Web Intake App","JAN 25, 2026 03:41:59 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","42##","DENNISON","WARD 9","Citizen Web Intake App","JAN 30, 2026 11:05:04 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","23##","AUBIN","WARD 5","Phone","FEB 09, 2026 02:28:40 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","3##","PIERRE","WARD 4","Phone","APR 08, 2026 02:45:49 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","2##","MCEWAN","WARD 2","Phone","MAY 07, 2026 12:36:17 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","2##","MCEWAN","WARD 2","Phone","MAY 07, 2026 12:36:59 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","38##","INGLEWOOD","WARD 9","Phone","MAY 07, 2026 01:46:19 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","101##","ASPEN","WARD 7","Phone","MAR 20, 2026 11:30:11 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","16##","GREENVIEW","WARD 2","Citizen Mobile Apps","MAR 24, 2026 09:36:08 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","22##","MAITLAND","WARD 7","Phone","MAR 24, 2026 12:02:06 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","13##","BENJAMIN","WARD 4","Phone","APR 28, 2026 12:23:01 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","72##","TECUMSEH","WARD 8","Phone","APR 28, 2026 12:42:21 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","12##","JANISSE","WARD 6","Phone","APR 13, 2026 11:41:09 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","8##","WATSON","WARD 6","Phone","MAR 09, 2026 09:13:57 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","5##","PIERRE","WARD 4","Phone","MAR 04, 2026 02:11:48 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","18##","CADILLAC","WARD 5","Phone","APR 20, 2026 03:51:30 PM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","2##","MCEWAN","WARD 2","Phone","APR 27, 2026 08:59:32 AM"
"Downspout Disconnect Service","Contracts, Field Services and Maintenance","11##","ALBERT","WARD 5","Phone","APR 27, 2026 10:19:27 AM"
