"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Graffiti Complaint","Parks Operations"," ","PELISSIER ST & PARK ST W","WARD 3","E-Mail","JAN 12, 2026 10:57:12 AM"
"Graffiti Complaint","Parks Operations","0##","UNIVERSITY","WARD 3","E-Mail","JAN 12, 2026 10:58:02 AM"
"Graffiti Complaint","Parks Operations","19##","LAUZON","WARD 8","Citizen Mobile Apps","JAN 12, 2026 12:38:24 PM"
"Graffiti Complaint","Parks Operations","93##","LITTLE RIVER","WARD 6","Phone","JAN 12, 2026 02:51:21 PM"
"Graffiti Complaint","Parks Operations","4##","OUELLETTE","WARD 3","Citizen Web Intake App","JAN 13, 2026 10:04:09 AM"
"Graffiti Complaint","Parks Operations","68##","TECUMSEH","WARD 8","Phone","MAR 09, 2026 11:38:39 AM"
"Graffiti Complaint","Parks Operations","16##","OTTAWA","WARD 4","Citizen Mobile Apps","MAR 22, 2026 12:50:31 PM"
"Graffiti Complaint","Parks Operations","20##","WYANDOTTE","WARD 2","E-Mail","JAN 16, 2026 08:41:25 AM"
"Graffiti Complaint","Parks Operations","20##","WYANDOTTE","WARD 2","E-Mail","JAN 16, 2026 08:47:23 AM"
"Graffiti Complaint","Parks Operations","21##","WYANDOTTE","WARD 2","E-Mail","JAN 16, 2026 08:58:23 AM"
"Graffiti Complaint","Parks Operations","3##","DEVONSHIRE","WARD 4","Phone","JAN 09, 2026 01:32:13 PM"
"Graffiti Complaint","Parks Operations","2##","RIVERSIDE","WARD 3","Citizen Mobile Apps","JAN 10, 2026 02:29:46 PM"
"Graffiti Complaint","Parks Operations"," ","LITTLE RIVER","WARD 7","Citizen Mobile Apps","MAR 07, 2026 03:48:49 PM"
"Graffiti Complaint","Parks Operations","14##","HALL","WARD 4","Citizen Mobile Apps","MAR 03, 2026 04:41:53 PM"
"Graffiti Complaint","Parks Operations","2##","RIVERSIDE","WARD 3","Citizen Mobile Apps","JAN 29, 2026 02:35:46 PM"
"Graffiti Complaint","Parks Operations","24##","CLOVER","WARD 7","Phone","FEB 03, 2026 03:59:26 PM"
"Graffiti Complaint","Parks Operations"," ","MICKEY RENAUD WAY & MCHUGH ST","WARD 6","Phone","FEB 19, 2026 10:48:03 AM"
"Graffiti Complaint","Parks Operations","17##","BENJAMIN","WARD 4","Citizen Mobile Apps","FEB 18, 2026 10:26:59 PM"
"Graffiti Complaint","Parks Operations","15##","WYANDOTTE","WARD 4","Citizen Mobile Apps","JAN 28, 2026 12:58:06 PM"
"Graffiti Complaint","Parks Operations","66##","TECUMSEH","WARD 8","Citizen Mobile Apps","JAN 28, 2026 05:12:01 PM"
"Graffiti Complaint","Parks Operations","24##","WYANDOTTE","WARD 5","Citizen Mobile Apps","JAN 05, 2026 04:14:21 PM"
"Graffiti Complaint","Parks Operations","20##","DEVONSHIRE","WARD 4","Phone","MAR 23, 2026 01:22:46 PM"
"Graffiti Complaint","Parks Operations","25##","UNIVERSITY","WARD 2","Citizen Mobile Apps","FEB 25, 2026 03:49:41 AM"
"Graffiti Complaint","Parks Operations","13##","TILSTON","WARD 2","Citizen Web Intake App","MAR 03, 2026 08:48:17 AM"
"Graffiti Complaint","Parks Operations","3##","CARLING","WARD 6","Phone","FEB 04, 2026 10:41:18 AM"
"Graffiti Complaint","Parks Operations","27##","LLOYD GEORGE","WARD 8","Citizen Mobile Apps","MAR 10, 2026 05:23:36 PM"
"Graffiti Complaint","Parks Operations","16##","RANKIN","WARD 10","Citizen Mobile Apps","FEB 17, 2026 02:40:36 PM"
"Graffiti Complaint","Parks Operations","14##","HALL","WARD 4","Citizen Mobile Apps","MAR 02, 2026 02:34:00 PM"
"Graffiti Complaint","Parks Operations","15##","OTTAWA","WARD 4","Citizen Web Intake App","MAR 24, 2026 12:24:14 PM"
"Graffiti Complaint","Parks Operations"," ","LITTLE RIVER","WARD 7","Citizen Mobile Apps","MAR 24, 2026 12:42:16 PM"
"Graffiti Complaint","Parks Operations"," ","LAUZON PKY & LAUZON LINE","WARD 6","Phone","MAR 19, 2026 10:54:06 AM"
"Graffiti Complaint","Parks Operations","10##","DROUILLARD","WARD 5","Citizen Mobile Apps","MAR 19, 2026 03:16:45 PM"
"Graffiti Complaint","Parks Operations","34##","CROSS","WARD 2","Citizen Mobile Apps","MAR 20, 2026 02:55:32 PM"
"Graffiti Complaint","Parks Operations","12##","HIGHNOON","WARD 1","Citizen Mobile Apps","MAR 20, 2026 04:10:06 PM"
"Graffiti Complaint","Parks Operations","43##","OLD WEST","WARD 1","Citizen Mobile Apps","MAR 20, 2026 07:15:31 PM"
"Graffiti Complaint","Parks Operations","19##","NORMAN","WARD 8","Citizen Mobile Apps","MAR 17, 2026 07:38:52 PM"
"Graffiti Complaint","Parks Operations","20##","DEVONSHIRE","WARD 4","Phone","MAR 25, 2026 08:37:58 AM"
"Graffiti Complaint","Parks Operations","3##","CITY HALL","WARD 3","E-Mail","MAR 25, 2026 10:58:11 AM"
"Graffiti Complaint","Parks Operations","15##","RIVERSIDE","WARD 2","E-Mail","MAR 05, 2026 08:52:55 AM"
"Graffiti Complaint","Parks Operations","12##","LANGLOIS","WARD 4","Phone","MAR 18, 2026 12:22:47 PM"
"Graffiti Complaint","Parks Operations","16##","LAUZON","WARD 6","Citizen Mobile Apps","FEB 12, 2026 04:11:50 PM"
