"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","19##","ONEIDA","WARD 4","Phone","JUL 22, 2025 09:51:14 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","11##","OAK","WARD 3","Phone","AUG 28, 2025 02:15:40 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","34##","FOREST GLADE","WARD 7","E-Mail","AUG 11, 2025 11:26:28 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","73##","TRANBY","WARD 6","E-Mail","JUN 12, 2025 12:17:02 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","73##","TRANBY","WARD 6","E-Mail","JUN 12, 2025 12:18:05 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","96##","MELVILLE","WARD 7","Phone","JUN 24, 2025 09:38:19 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","16##","HOWARD","WARD 3","Phone","APR 01, 2025 02:41:57 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","30##","GRANDVIEW","WARD 8","Phone","JUN 24, 2025 02:23:22 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","56##","BALDWIN","WARD 8","Phone","JUL 29, 2025 11:15:54 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","12##","MONMOUTH","WARD 4","Phone","MAY 15, 2025 10:09:26 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","56##","BALDWIN","WARD 8","Phone","JUL 16, 2025 03:57:02 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","7##","CARTIER","WARD 1","Phone","MAY 07, 2025 09:42:29 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","7##","MORAND","WARD 9","Citizen Web Intake App","JUN 03, 2025 08:41:52 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","7##","MORAND","WARD 9","Citizen Web Intake App","JUN 03, 2025 10:36:26 AM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","10##","VILLAIRE","WARD 6","Phone","MAY 29, 2025 03:27:40 PM"
"Keeping of Animals","Policy, Gaming, Licencing and Bylaw Enforcement","39##","LAUZON","WARD 9","Phone","AUG 05, 2025 03:01:39 PM"
