"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","GILES BLVD W & PELISSIER ST","WARD 3","Phone","JAN 21, 2025 02:36:52 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","0##","PROSPECT","WARD 2","Citizen Web Intake App","FEB 03, 2025 10:31:34 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","34##","RIVERSIDE","WARD 5","Citizen Mobile Apps","FEB 04, 2025 01:29:48 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","43##","RIVERSIDE","WARD 5","Citizen Mobile Apps","FEB 04, 2025 10:11:45 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","11##","WALKER","WARD 4","Citizen Mobile Apps","FEB 05, 2025 06:01:33 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","HOWARD AVE & TECUMSEH RD E","WARD 3","Phone","JAN 30, 2025 11:33:34 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","LAUZON PKY & SERVICE RD","WARD 9","Phone","JAN 09, 2025 11:24:26 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","21##","BETTS","WARD 10","Phone","JAN 31, 2025 11:34:28 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","5##","CHURCH","WARD 3","Citizen Mobile Apps","JAN 19, 2025 08:43:14 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","32##","PETER","WARD 2","E-Mail","JAN 20, 2025 01:33:01 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","15##","KILDARE","WARD 4","Citizen Mobile Apps","FEB 07, 2025 03:46:24 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","30##","WOODLAWN","WARD 9","Phone","FEB 07, 2025 04:26:08 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","67##","RIVERSIDE","WARD 6","Citizen Mobile Apps","FEB 06, 2025 10:04:44 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","9##","LOUIS","WARD 4","Phone","FEB 07, 2025 12:24:47 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","9##","HOMEDALE","WARD 6","Phone","FEB 07, 2025 04:29:38 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","9##","HOMEDALE","WARD 6","Phone","FEB 07, 2025 09:03:59 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","16##","SENECA","WARD 4","Citizen Mobile Apps","FEB 07, 2025 06:45:39 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","WOODLAWN AVE & EC ROW AVE E","WARD 9","Phone","FEB 07, 2025 08:38:45 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","26##","TECUMSEH","WARD 2","Phone","JAN 03, 2025 02:41:21 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","34##","DOMINION","WARD 1","Citizen Web Intake App","JAN 06, 2025 06:33:32 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","RANDOLPH AVE & FANCHETTE ST","WARD 2","Phone","JAN 08, 2025 02:42:50 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","2##","RIVERSIDE","WARD 3","Citizen Mobile Apps","JAN 15, 2025 04:48:42 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","CABANA","WARD 9","Citizen Mobile Apps","JAN 19, 2025 04:27:18 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","59##","WYANDOTTE","WARD 6","Phone","JAN 14, 2025 03:01:37 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","15##","LINCOLN","WARD 4","Phone","JAN 15, 2025 10:46:26 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","7##","MERCER","WARD 3","Phone","JAN 15, 2025 11:11:36 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","2##","JEFFERSON","WARD 6","Citizen Mobile Apps","JAN 16, 2025 01:46:33 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","JEFFERSON BLVD & WYANDOTTE ST E","WARD 6","Phone","JAN 16, 2025 02:03:57 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","10##","WALKER","WARD 5","Phone","JAN 17, 2025 08:50:48 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","OTTAWA ST & WALKER RD","WARD 4","E-Mail","JAN 17, 2025 09:14:35 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","36##","RHODES","WARD 9","Phone","JAN 17, 2025 09:51:03 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","OTTAWA ST & PARENT AVE","WARD 4","Phone","JAN 17, 2025 02:44:32 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","38##","HOWARD","WARD 9","Citizen Mobile Apps","JAN 19, 2025 07:27:13 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","6##","JANETTE","WARD 3","Phone","JAN 29, 2025 09:35:09 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","EC ROW ON","WARD 9","Citizen Web Intake App","FEB 03, 2025 10:27:33 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","11##","HIGHLAND","WARD 3","Phone","JAN 22, 2025 09:38:19 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","UNIVERSITY AVE W & CRAWFORD AVE","WARD 3","Phone","JAN 23, 2025 10:28:07 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","14##","RIVERSIDE","WARD 4","Citizen Mobile Apps","JAN 23, 2025 02:18:34 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","RHODES DR & ELECTRICITY DR","WARD 9","Phone","JAN 28, 2025 01:34:33 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","9##","LINCOLN","WARD 4","Citizen Mobile Apps","FEB 04, 2025 08:59:12 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","17##","ST CLAIR","WARD 10","E-Mail","FEB 05, 2025 08:44:21 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","8##","LINCOLN","WARD 4","Citizen Mobile Apps","JAN 02, 2025 04:29:13 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","25##","DOMINION","WARD 10","Phone","JAN 03, 2025 03:23:59 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","NIAGARA ST & LINCOLN RD","WARD 4","Phone","JAN 06, 2025 09:28:16 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","8##","PILLETTE","WARD 5","Phone","JAN 06, 2025 02:26:44 PM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","LABELLE ST & CALIFORNIA AVE","WARD 10","Phone","JAN 03, 2025 08:33:11 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","LABELLE ST & SKYLINE DR","WARD 10","Phone","JAN 03, 2025 08:35:05 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","LABELLE ST & PARTINGTON AVE","WARD 10","Phone","JAN 06, 2025 09:35:21 AM"
"Pothole on Road","Contracts, Field Services and Maintenance"," ","HOWARD AVE & HOLBURN ST","WARD 9","Phone","JAN 03, 2025 03:20:57 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","36##","HOWARD","WARD 9","Phone","JAN 03, 2025 09:56:49 AM"
"Pothole on Road","Contracts, Field Services and Maintenance","25##","ALEXIS","WARD 5","Citizen Mobile Apps","JAN 05, 2025 04:44:13 PM"
"Pothole on Road","Contracts, Field Services and Maintenance","25##","ALEXIS","WARD 5","Citizen Mobile Apps","JAN 05, 2025 04:46:13 PM"
