"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Street Sweeping Request","Environmental Services","10##","REEDMERE","WARD 6","Phone","OCT 28, 2024 09:19:23 AM"
"Street Sweeping Request","Environmental Services","19##","JEFFERSON","WARD 8","Citizen Mobile Apps","DEC 02, 2024 09:02:13 AM"
"Street Sweeping Request","Environmental Services","42##","MASOTTI","WARD 9","Citizen Mobile Apps","NOV 27, 2024 10:31:17 AM"
"Street Sweeping Request","Environmental Services","16##","FELIX","WARD 2","Phone","NOV 27, 2024 02:54:00 PM"
"Street Sweeping Request","Environmental Services","4##","UNIVERSITY","WARD 3","Phone","DEC 17, 2024 10:40:37 AM"
"Street Sweeping Request","Environmental Services","11##","HURON CHURCH","WARD 2","Phone","DEC 17, 2024 12:41:07 PM"
"Street Sweeping Request","Environmental Services","8##","LOUIS","WARD 4","Phone","SEP 10, 2024 10:41:04 AM"
"Street Sweeping Request","Environmental Services","21##","LENS","WARD 4","Phone","SEP 18, 2024 09:57:08 AM"
"Street Sweeping Request","Environmental Services","15##","MOY","WARD 4","Citizen Mobile Apps","NOV 14, 2024 08:40:11 AM"
"Street Sweeping Request","Environmental Services","15##","HALL","WARD 4","Phone","NOV 14, 2024 11:13:39 AM"
"Street Sweeping Request","Environmental Services","8##","CHILVER","WARD 4","E-Mail","NOV 15, 2024 02:10:31 PM"
"Street Sweeping Request","Environmental Services","39##","RODD","WARD 1","Web Intake","NOV 17, 2024 02:44:02 PM"
"Street Sweeping Request","Environmental Services","24##","CHILVER","WARD 4","Phone","NOV 18, 2024 08:17:51 AM"
"Street Sweeping Request","Environmental Services","16##","CALIFORNIA","WARD 10","Phone","NOV 18, 2024 09:31:32 AM"
"Street Sweeping Request","Environmental Services","15##","HALL","WARD 4","Citizen Mobile Apps","NOV 18, 2024 10:10:40 AM"
"Street Sweeping Request","Environmental Services","29##","GLENWOOD","WARD 10","Phone","NOV 18, 2024 11:03:11 AM"
