"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Yard Waste Not Collected","Environmental Services","30##","ROBINET","WARD 7","Phone","OCT 24, 2023 02:56:39 PM"
"Yard Waste Not Collected","Environmental Services","30##","ROBINET","WARD 7","Phone","OCT 25, 2023 11:52:53 AM"
"Yard Waste Not Collected","Environmental Services","12##","ELSMERE","WARD 4","Phone","OCT 25, 2023 12:30:55 PM"
"Yard Waste Not Collected","Environmental Services","8##","VICTORIA","WARD 3","Phone","OCT 25, 2023 01:19:49 PM"
"Yard Waste Not Collected","Environmental Services","7##","BROCK","WARD 2","Phone","OCT 25, 2023 03:22:29 PM"
"Yard Waste Not Collected","Environmental Services","30##","ROBINET","WARD 7","Phone","OCT 26, 2023 11:34:04 AM"
"Yard Waste Not Collected","Environmental Services","5##","SARAH","WARD 9","Phone","SEP 08, 2023 09:17:26 AM"
"Yard Waste Not Collected","Environmental Services","12##","STANLEY","WARD 10","Phone","SEP 08, 2023 09:19:12 AM"
"Yard Waste Not Collected","Environmental Services","3##","EDINBOROUGH","WARD 10","Phone","SEP 08, 2023 09:24:26 AM"
"Yard Waste Not Collected","Environmental Services","37##","PRAIRIE","WARD 1","Phone","SEP 08, 2023 11:08:48 AM"
"Yard Waste Not Collected","Environmental Services","5##","BARTLET","WARD 1","Phone","SEP 08, 2023 11:35:05 AM"
"Yard Waste Not Collected","Environmental Services","6##","STANLEY","WARD 10","Phone","SEP 08, 2023 11:40:02 AM"
"Yard Waste Not Collected","Environmental Services","9##","NOVA","WARD 9","Phone","SEP 08, 2023 11:46:21 AM"
"Yard Waste Not Collected","Environmental Services","22##","FRASER","WARD 4","Phone","SEP 08, 2023 02:03:31 PM"
"Yard Waste Not Collected","Environmental Services","43##","MITCHELL","WARD 1","Phone","SEP 08, 2023 02:36:18 PM"
"Yard Waste Not Collected","Environmental Services","84##","BASELINE","WARD 9","Phone","SEP 08, 2023 02:39:46 PM"
"Yard Waste Not Collected","Environmental Services","22##","DOUGALL","WARD 3","Phone","SEP 08, 2023 02:58:40 PM"
"Yard Waste Not Collected","Environmental Services","21##","CHURCH","WARD 3","Phone","SEP 08, 2023 03:33:31 PM"
"Yard Waste Not Collected","Environmental Services","24##","MERCER","WARD 3","Phone","SEP 08, 2023 03:51:01 PM"
"Yard Waste Not Collected","Environmental Services","34##","WOODLAWN","WARD 9","Phone","SEP 08, 2023 03:56:40 PM"
"Yard Waste Not Collected","Environmental Services","23##","MOY","WARD 4","Phone","SEP 11, 2023 08:31:13 AM"
"Yard Waste Not Collected","Environmental Services","6##","BEDFORD","WARD 9","Phone","NOV 30, 2023 11:22:44 AM"
"Yard Waste Not Collected","Environmental Services","38##","MCGREGOR","WARD 1","Phone","SEP 08, 2023 08:55:20 AM"
"Yard Waste Not Collected","Environmental Services","26##","NORFOLK PINES","WARD 1","Phone","OCT 31, 2023 11:17:43 AM"
"Yard Waste Not Collected","Environmental Services","17##","DROUILLARD","WARD 5","Citizen Mobile Apps","SEP 21, 2023 12:36:18 PM"
"Yard Waste Not Collected","Environmental Services","37##","HOLBURN","WARD 9","Phone","NOV 14, 2023 08:37:39 AM"
"Yard Waste Not Collected","Environmental Services","8##","NORTH TALBOT","WARD 1","Phone","NOV 29, 2023 03:07:26 PM"
"Yard Waste Not Collected","Environmental Services","7##","GRAND MARAIS","WARD 10","Phone","NOV 29, 2023 02:45:13 PM"
"Yard Waste Not Collected","Environmental Services","42##","PROVIDENCE","WARD 9","Phone","NOV 30, 2023 08:31:40 AM"
"Yard Waste Not Collected","Environmental Services","3##","JOSEPHINE","WARD 2","Phone","OCT 30, 2023 08:52:17 AM"
"Yard Waste Not Collected","Environmental Services","97##","RIVERSIDE","WARD 7","Phone","OCT 30, 2023 09:27:10 AM"
"Yard Waste Not Collected","Environmental Services","19##","AUBIN","WARD 5","Phone","NOV 03, 2023 03:04:05 PM"
"Yard Waste Not Collected","Environmental Services","19##","AUBIN","WARD 5","Phone","NOV 06, 2023 09:17:28 AM"
"Yard Waste Not Collected","Environmental Services","13##","MARLBOROUGH","WARD 2","Citizen Mobile Apps","NOV 07, 2023 06:18:32 PM"
"Yard Waste Not Collected","Environmental Services","12##","MOY","WARD 4","Phone","OCT 19, 2023 12:28:10 PM"
"Yard Waste Not Collected","Environmental Services","40##","WALKER","WARD 9","Phone","OCT 19, 2023 10:04:51 AM"
"Yard Waste Not Collected","Environmental Services","25##","ARTHUR","WARD 5","Phone","OCT 19, 2023 11:19:09 AM"
"Yard Waste Not Collected","Environmental Services","24##","MELDRUM","WARD 5","Phone","OCT 06, 2023 12:50:58 PM"
"Yard Waste Not Collected","Environmental Services","21##","BYNG","WARD 4","Phone","OCT 06, 2023 01:41:20 PM"
"Yard Waste Not Collected","Environmental Services","16##","GLADSTONE","WARD 4","Phone","OCT 10, 2023 12:09:18 PM"
"Yard Waste Not Collected","Environmental Services"," ","GLENDALE AVE & CORONATION AVE","WARD 8","E-Mail","OCT 10, 2023 12:16:13 PM"
"Yard Waste Not Collected","Environmental Services","18##","GLADSTONE","WARD 4","Phone","OCT 10, 2023 01:27:18 PM"
"Yard Waste Not Collected","Environmental Services","18##","GLADSTONE","WARD 4","E-Mail","OCT 10, 2023 03:25:33 PM"
"Yard Waste Not Collected","Environmental Services","17##","GLADSTONE","WARD 4","E-Mail","OCT 11, 2023 08:37:32 AM"
"Yard Waste Not Collected","Environmental Services","17##","GLADSTONE","WARD 4","Phone","OCT 11, 2023 09:08:17 AM"
"Yard Waste Not Collected","Environmental Services","7##","BEDFORD","WARD 9","Phone","NOV 30, 2023 08:43:43 AM"
"Yard Waste Not Collected","Environmental Services","7##","CHARLOTTE","WARD 10","Phone","NOV 30, 2023 08:47:32 AM"
"Yard Waste Not Collected","Environmental Services","35##","INNERKIP","WARD 9","Phone","NOV 30, 2023 09:12:48 AM"
"Yard Waste Not Collected","Environmental Services","46##","BRADBURY","WARD 1","Phone","NOV 30, 2023 09:25:49 AM"
"Yard Waste Not Collected","Environmental Services","14##","ROCKPORT","WARD 9","Phone","NOV 30, 2023 09:36:47 AM"
"Yard Waste Not Collected","Environmental Services","31##","SUSSEX","WARD 8","Citizen Mobile Apps","SEP 11, 2023 03:00:40 PM"
"Yard Waste Not Collected","Environmental Services","21##","BYNG","WARD 4","Phone","SEP 11, 2023 03:30:13 PM"
"Yard Waste Not Collected","Environmental Services","15##","CABANA","WARD 1","Phone","SEP 12, 2023 08:20:22 AM"
"Yard Waste Not Collected","Environmental Services","50##","GRAND","WARD 8","Phone","SEP 12, 2023 09:23:38 AM"
"Yard Waste Not Collected","Environmental Services","14##","READING","WARD 10","Phone","SEP 12, 2023 04:01:12 PM"
"Yard Waste Not Collected","Environmental Services","31##","MEADOWBROOK","WARD 8","Phone","SEP 13, 2023 09:38:05 AM"
"Yard Waste Not Collected","Environmental Services","3##","DOUGALL","WARD 1","Phone","SEP 01, 2023 10:44:11 AM"
"Yard Waste Not Collected","Environmental Services","34##","EVERTS","WARD 1","Phone","SEP 07, 2023 11:11:59 AM"
