"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Yard Waste Not Collected","Environmental Services","50##","SOUTHWOOD LAKES","WARD 1","Phone","JAN 25, 2024 08:20:41 AM"
"Yard Waste Not Collected","Environmental Services","7##","NORTH TALBOT","WARD 1","Phone","JAN 25, 2024 09:03:07 AM"
"Yard Waste Not Collected","Environmental Services","23##","ROSSINI","WARD 5","Phone","JAN 25, 2024 09:21:23 AM"
"Yard Waste Not Collected","Environmental Services","39##","LONGFELLOW","WARD 1","Phone","JAN 25, 2024 09:33:28 AM"
"Yard Waste Not Collected","Environmental Services","6##","NORTH TALBOT","WARD 1","Phone","JAN 25, 2024 11:04:32 AM"
"Yard Waste Not Collected","Environmental Services","46##","ALPENROSE","WARD 1","Phone","JAN 25, 2024 03:21:36 PM"
"Yard Waste Not Collected","Environmental Services","22##","GLADSTONE","WARD 4","Phone","JAN 26, 2024 09:42:52 AM"
"Yard Waste Not Collected","Environmental Services","24##","CURRY","WARD 10","Citizen Mobile Apps","JAN 24, 2024 08:25:57 PM"
"Yard Waste Not Collected","Environmental Services","35##","ROCKWELL","WARD 1","Phone","JAN 24, 2024 08:47:47 AM"
"Yard Waste Not Collected","Environmental Services","42##","DOUGALL","WARD 1","Phone","JAN 24, 2024 10:08:39 AM"
"Yard Waste Not Collected","Environmental Services","31##","FLETCHER","WARD 9","Phone","JAN 24, 2024 11:25:29 AM"
"Yard Waste Not Collected","Environmental Services","24##","CURRY","WARD 10","Phone","JAN 24, 2024 01:06:54 PM"
"Yard Waste Not Collected","Environmental Services","10##","DANDURAND","WARD 10","Phone","JAN 24, 2024 02:29:50 PM"
"Yard Waste Not Collected","Environmental Services","27##","ASKIN","WARD 10","Phone","JAN 24, 2024 02:33:49 PM"
"Yard Waste Not Collected","Environmental Services","21##","AMY LYNN PARK","WARD 1","Web Intake","JAN 23, 2024 03:39:56 PM"
"Yard Waste Not Collected","Environmental Services","22##","DANDURAND","WARD 10","Phone","JAN 24, 2024 08:06:10 AM"
"Yard Waste Not Collected","Environmental Services","31##","WACHNA","WARD 8","Phone","FEB 14, 2024 10:01:06 AM"
"Yard Waste Not Collected","Environmental Services","8##","HANNA","WARD 4","Citizen Mobile Apps","JAN 18, 2024 07:11:23 AM"
"Yard Waste Not Collected","Environmental Services","16##","PARENT","WARD 4","Phone","JAN 18, 2024 10:24:56 AM"
"Yard Waste Not Collected","Environmental Services","15##","BENJAMIN","WARD 4","Phone","JAN 19, 2024 03:58:22 PM"
"Yard Waste Not Collected","Environmental Services","15##","PELISSIER","WARD 3","Citizen Mobile Apps","JAN 19, 2024 05:33:03 PM"
"Yard Waste Not Collected","Environmental Services","6##","DEVONSHIRE","WARD 4","Citizen Mobile Apps","JAN 20, 2024 10:06:37 AM"
"Yard Waste Not Collected","Environmental Services","7##","ARGYLE","WARD 4","Phone","JAN 22, 2024 08:50:03 AM"
"Yard Waste Not Collected","Environmental Services","7##","ARGYLE","WARD 4","Phone","JAN 22, 2024 10:16:44 AM"
"Yard Waste Not Collected","Environmental Services","5##","LAKEVIEW","WARD 7","Phone","JAN 22, 2024 12:57:56 PM"
"Yard Waste Not Collected","Environmental Services","3##","BETTY","WARD 6","Phone","JAN 22, 2024 02:54:52 PM"
"Yard Waste Not Collected","Environmental Services","11##","MONMOUTH","WARD 4","Phone","JAN 19, 2024 08:16:50 AM"
"Yard Waste Not Collected","Environmental Services","18##","DACOTAH","WARD 4","Phone","JAN 19, 2024 09:09:15 AM"
"Yard Waste Not Collected","Environmental Services","2##","OAK","WARD 3","Phone","JAN 19, 2024 10:27:51 AM"
"Yard Waste Not Collected","Environmental Services","19##","ST MARY'S GATE","WARD 4","Phone","JAN 19, 2024 12:14:39 PM"
"Yard Waste Not Collected","Environmental Services","53##","RIVERSIDE","WARD 6","Phone","JAN 19, 2024 01:49:24 PM"
"Yard Waste Not Collected","Environmental Services","9##","REEDMERE","WARD 6","Phone","JAN 24, 2024 03:38:31 PM"
"Yard Waste Not Collected","Environmental Services","22##","CHURCH","WARD 3","Phone","JAN 29, 2024 08:23:07 AM"
"Yard Waste Not Collected","Environmental Services","97##","MELVILLE","WARD 7","Phone","JAN 29, 2024 02:13:16 PM"
"Yard Waste Not Collected","Environmental Services","42##","SUTHERLAND","WARD 1","Phone","JAN 29, 2024 01:51:01 PM"
"Yard Waste Not Collected","Environmental Services","8##","MOY","WARD 4","Phone","FEB 06, 2024 09:20:28 AM"
"Yard Waste Not Collected","Environmental Services","12##","BRUCE","WARD 3","Phone","JAN 23, 2024 10:38:44 AM"
